case_id,scenario,target,probe,random_seed,true_stiffness_n_per_m,true_damping_n_s_per_m,true_effective_mass_kg,batch_stiffness_n_per_m,batch_damping_n_s_per_m,batch_effective_mass_kg,batch_stiffness_relative_error,batch_damping_relative_error,batch_effective_mass_relative_error,batch_relative_error_rms,batch_force_rmse_n,rls_stiffness_n_per_m,rls_damping_n_s_per_m,rls_effective_mass_kg,rls_stiffness_relative_error,rls_damping_relative_error,rls_effective_mass_relative_error,rls_relative_error_rms,regression_rank,normalized_condition_number,normalized_min_singular_value,parameter_correlation_k_c,parameter_correlation_k_m,parameter_correlation_c_m,maximum_abs_parameter_correlation,peak_abs_probe_force_n,peak_abs_displacement_m,peak_abs_velocity_m_per_s,peak_abs_acceleration_m_per_s2
near_ideal__rigid_high_stiffness__half_sine,near_ideal,rigid_high_stiffness,half_sine,11102,2000.0,20.0,1.0,1997.7491339596475,19.619783596768873,0.7720507221192463,-0.0011254330201762742,-0.019010820161556374,-0.2279492778807537,0.13206507381975877,0.0051958763980876075,1997.7491339589849,19.61978359683876,0.772050722069143,-0.0011254330205075576,-0.019010820158061926,-0.22794927793085695,0.13206507384841876,3,1.2363713928487923,0.8894339316549903,-2.2736388953489663e-05,0.20860794238062888,-0.013358160956955368,0.20860794238062888,1.0,0.0005021909328122982,0.0023150474635711318,0.05175673613062836
near_ideal__rigid_high_stiffness__sinusoid,near_ideal,rigid_high_stiffness,sinusoid,11103,2000.0,20.0,1.0,1992.349713664288,20.003098985752143,0.9494554867731786,-0.0038251431678560264,0.00015494928760713124,-0.05054451322682141,0.029265471958564923,0.0056575415042404735,1992.3497136633866,20.003098985752494,0.94945548676838,-0.003825143168306681,0.00015494928762471716,-0.050544513231620014,0.029265471961347156,3,4.833472597172801,0.2865214356143305,-0.05899908890690748,0.9178483025538384,-0.06446673474946814,0.9178483025538384,0.9999210442038162,0.0005759098882721776,0.008293724657040326,0.19918395375686934
near_ideal__rigid_high_stiffness__chirp,near_ideal,rigid_high_stiffness,chirp,11104,2000.0,20.0,1.0,1999.2656826553643,19.99327443685501,0.999512684863948,-0.00036715867231782795,-0.0003362781572494811,-0.0004873151360520467,0.0004022290108577126,0.005797199532187211,1999.2656826544423,19.99327443685376,0.9995126848634385,-0.00036715867277882806,-0.0003362781573120088,-0.00048731513656152803,0.00040222901122115805,3,3.6785679054788,0.370982259370134,-0.008113926957399233,0.8623698789905141,-0.008286866661235558,0.8623698789905149,1.0,0.0011110710656813696,0.050209274082508665,2.38749180150072
near_ideal__rigid_high_stiffness__multisine,near_ideal,rigid_high_stiffness,multisine,11105,2000.0,20.0,1.0,1999.8888179316493,19.994378034045347,0.9999695025071844,-5.559103417533606e-05,-0.0002810982977326404,-3.0497492815584337e-05,0.00016636978204881251,0.0059231330362142075,1999.8888183872027,19.994378033879045,0.999969502864312,-5.559080639864078e-05,-0.00028109830604776674,-3.0497135688034582e-05,0.00016636973954032775,3,2.6374571811013703,0.5013725754617725,-0.009407001224773686,0.7486086813660173,-0.011634865443155345,0.7486086813660179,0.9088358012080359,0.0006006592699266698,0.015872273815666853,0.6739822737428437
near_ideal__compliant__ramp,near_ideal,compliant,ramp,11201,100.0,5.0,1.0,99.9918898940123,4.97880146833303,0.9776934574812159,-8.110105987697126e-05,-0.004239706333394011,-0.022306542518784056,0.013109329074081244,0.005075485315528188,99.99188989400496,4.978801468335045,0.9776934574806818,-8.110105995044136e-05,-0.004239706332990955,-0.022306542519318184,0.013109329074340897,3,1.3784710136839557,0.8294395608054187,-0.26096061912775087,0.1814181293225514,-0.052204689634169514,0.26096061912775115,1.0,0.010741747288755892,0.019257859665778868,0.09487073205868338
near_ideal__compliant__half_sine,near_ideal,compliant,half_sine,11202,100.0,5.0,1.0,99.89933211203969,4.998476890187456,0.9939260584735283,-0.001006678879603129,-0.0003046219625087332,-0.006073941526471671,0.0035589775017401976,0.0051012288515956405,99.8993321120285,4.998476890187135,0.9939260584731547,-0.0010066788797149684,-0.0003046219625730373,-0.006073941526845261,0.0035589775019651067,3,1.9261322695016563,0.6516361677423748,-0.0005647630344533302,0.5753700625567998,-0.0007651356400854495,0.5753700625567998,1.0,0.011837083203577797,0.03919971314070859,0.22067941206897732
near_ideal__compliant__sinusoid,near_ideal,compliant,sinusoid,11203,100.0,5.0,1.0,100.00903631382238,5.000611577695792,1.0000863432565108,9.036313822377906e-05,0.00012231553915835746,8.634325651080133e-05,0.00010096492099427324,0.005060681613874128,100.00903631326713,5.000611577696693,1.0000863432528315,9.03631326713139e-05,0.00012231553933865768,8.634325283152222e-05,0.00010096491836178934,3,11.522891618804012,0.12225943378967778,-0.15743035509614123,0.9850439460696351,-0.1572247772666564,0.9850439460696354,0.9999210442038162,0.013434577288119871,0.16030969191720595,1.948785560721951
near_ideal__compliant__chirp,near_ideal,compliant,chirp,11204,100.0,5.0,1.0,100.01909856844273,5.0014920574114345,1.000214259234883,0.00019098568442728946,0.0002984114822869088,0.00021425923488305187,0.0002390480873168277,0.0051317897830499,100.01909856841944,5.0014920574110935,1.000214259234737,0.00019098568419437356,0.0002984114822186967,0.00021425923473694652,0.00023904808718276365,3,2.068211853589364,0.6156031954384439,4.871677978506254e-05,0.621032704832388,5.10964631557184e-05,0.621032704832389,1.0,0.01388841991801081,0.15218907429031361,2.0253452212885024
near_ideal__compliant__multisine,near_ideal,compliant,multisine,11205,100.0,5.0,1.0,99.966937367138,4.998377067845356,0.9998171542200276,-0.0003306263286199851,-0.00032458643092887486,-0.00018284577997240703,0.0002875776414429058,0.005155575501168986,99.96693736621577,4.998377067850224,0.9998171542076656,-0.00033062633784226137,-0.00032458642995525366,-0.00018284579233440734,0.0002875776472308416,3,2.3642480636544247,0.5507956792781248,-0.04067756377150874,0.6962159364772948,-0.04601488944413602,0.6962159364772951,0.9088358012080359,0.006976092364378182,0.06780939837087019,0.9938424909266527
near_ideal__lightly_damped_flexible__ramp,near_ideal,lightly_damped_flexible,ramp,11301,300.0,0.5,1.0,299.8594543858854,0.4504691251719052,0.9700813302326554,-0.0004684853803820488,-0.09906174965618963,-0.029918669767344586,0.05974550617450833,0.005137800985871329,299.8594543858638,0.45046912517670984,0.970081330232372,-0.00046848538045405046,-0.09906174964658032,-0.029918669767628026,0.059745506169244886,3,1.2676607849188029,0.8748086280049356,-0.22486228706386596,0.06516250567158474,-0.024040635110393196,0.22486228706386596,1.0,0.0034368605174839324,0.008691606312854023,0.0752696446606711
