time_s,desired_force_n,contact_force_n,uav_x_m,uav_y_m,uav_z_m,target_x_m,target_v_mps,target_a_mps2,roll_rad,pitch_rad,yaw_rad,omega1,omega2,omega3,omega4
0.613,0,0.406565547764687,-0.297951235158549,-3.68042159365833e-10,0.999974966784314,0.000205076502943092,0.000305058739478352,-0.0402195529865458,-6.29788310663454e-08,0.0211913751321446,-2.2387866133712e-06,445.779279051658,439.937981290543,434.028131873988,439.937945282284
0.614,0,0.406979775162738,-0.297962515306116,-3.65381391191405e-10,0.999974262538066,0.000205361487688512,0.000264947821835809,-0.0399957263450157,-6.29937751364129e-08,0.0210564270761246,-2.24327741974996e-06,445.704019488026,439.939060395077,434.107557310996,439.939024422333
0.615,0,0.407346579796368,-0.297973860297419,-3.62566055295384e-10,0.999973555927504,0.000205606479316926,0.00022507774242507,-0.0397405063416404,-6.30056409992382e-08,0.0209211526804561,-2.24773193048176e-06,445.629657340194,439.940140672874,434.186046363451,439.940104736017
0.616,0,0.407648186534508,-0.297985271701259,-3.59593973223223e-10,0.999972847028223,0.000205811731752372,0.00018547208933192,-0.039469406993911,-6.30144493654895e-08,0.0207855727237482,-2.25215030868399e-06,445.556166208481,439.941221845185,434.263625809855,439.94118594468
0.617,0,0.407867452410179,-0.297996751046019,-3.564629705441e-10,0.999972135915841,0.00020597751485257,0.000146139249959454,-0.0391972927208234,-6.30202197488408e-08,0.0206497075531248,-2.25653267901625e-06,445.483512844907,439.942303651982,434.34032940128,439.942267788412
0.618,0,0.407988001198019,-0.298008299808039,-3.53170877239582e-10,0.999971422665977,0.000206104099555536,0.000107073127656156,-0.0389382461300285,-6.30229704470965e-08,0.0205135770425296,-2.26087913054992e-06,445.41165761509,439.943385849784,434.416197381804,439.94335002388
0.619,0,0.407994347360859,-0.298019919400514,-3.49715528090031e-10,0.999970707354223,0.000206191743807053,6.82539848543039e-05,-0.0387054473607578,-6.30227185321429e-08,0.0203772005551075,-2.26518971977763e-06,445.340555004734,439.94446820949,434.491275964117,439.944432422156
0.62,0,0.407872008497221,-0.29803161116299,-3.46094763058701e-10,0.999969990056119,0.000206240679389568,2.964940073847e-05,-0.038511065807242,-6.30194798485358e-08,0.020240596909887,-2.26946447372865e-06,445.270154164818,439.945550514233,434.565616766302,439.945514766567
0.621,0,0.407607605542413,-0.298043376351525,-3.42306427673437e-10,0.999969270847134,0.000206251099760749,-8.78466929554783e-06,-0.0383661649164065,-6.30132690204855e-08,0.0201037843529451,-2.27370339315846e-06,445.200399489448,439.94663255727,434.639276215983,439.946596850584
0.622,0,0.407188950117929,-0.2980552161296,-3.3834837340592e-10,0.99996854980264,0.000206223148996844,-4.71027457492959e-05,-0.0382806206051132,-6.30040994670141e-08,0.0199667805331892,-2.27790645578263e-06,445.131231220158,439.947714139934,434.712314928163,439.947678475774
0.623,0,0.406605118571438,-0.298067131559822,-3.34218458048388e-10,0.999967826997891,0.000206156911922405,-8.5368602526577e-05,-0.0382630536896126,-6.29919834250215e-08,0.0198296024828449,-2.2820736195277e-06,445.062586070399,439.948795069661,434.784797063195,439.948759449823
0.624,0,0.405846512373914,-0.298079123596482,-3.29914546087769e-10,0.999967102507999,0.000206052405493919,-0.000123653983989558,-0.038320776587361,-6.2976931979968e-08,0.019692266602692,-2.2862048257741e-06,444.994397863932,439.949875158105,434.856789671292,439.949839584648
0.625,0,0.40490490468858,-0.298091193078996,-3.25434509077172e-10,0.999966376407915,0.000205909571490631,-0.000162037275902664,-0.0384597543999798,-6.29589551038557e-08,0.0195547886520498,-2.29030000256854e-06,444.926598180904,439.950954219363,434.928362029969,439.950918694618
0.626,0,0.403773473066525,-0.298103340726266,-3.20776226004675e-10,0.999965648772409,0.000205728270551494,-0.000200602144642388,-0.0386845803425445,-6.29380617001788e-08,0.0194171837434632,-2.29435906778559e-06,444.859117005478,439.952032068308,434.999584980703,439.95199659489
0.627,0,0.402446818340912,-0.29811556713199,-3.15937583659356e-10,0.999964919676048,0.000205508277582813,-0.000239436158948708,-0.0389984653615767,-6.29142596554788e-08,0.0192794663420066,-2.29838193222033e-06,444.791883369065,439.953108519061,435.070530270905,439.953073099869
0.628,0,0.4009209699445,-0.298127872760915,-3.10916476994529e-10,0.999964189193174,0.000205249278547,-0.000278629408265507,-0.0394032416330938,-6.28875558971044e-08,0.0191416502690768,-2.30236850259583e-06,444.724825983408,439.954183383588,435.141269907117,439.954148021815
0.629,0,0.399193377970073,-0.298140257946061,-3.05710809488112e-10,0.999963457397891,0.000204950868628975,-0.000318273131353814,-0.0398993795311875,-6.28579564567074e-08,0.019003748710512,-2.30631868447121e-06,444.65787385804,439.955256470453,435.211875525044,439.955221169579
0.63,0,0.397262892437396,-0.298152722886886,-3.00318493500107e-10,0.99996272436404,0.00020461255176329,-0.000358458368384344,-0.0404860175176918,-6.28254665390206e-08,0.018865774228838,-2.31023238503726e-06,444.590956896932,439.956327583711,435.282417781736,439.956292347507
0.631,0,0.395129730318599,-0.298165267648396,-2.9473745062714e-10,0.999961990165182,0.000204233741492141,-0.000399274649117192,-0.0411610043122547,-6.27900905953808e-08,0.0187277387794109,-2.31410951578801e-06,444.524006469498,439.957396521958,435.352965774873,439.957361354477
0.632,0,0.392795430981931,-0.29817789216117,-2.88965612054012e-10,0.999961254874583,0.000203813763112154,-0.000440808729084878,-0.0419209525964899,-6.27518324014336e-08,0.0185896537301965,-2.3179499950579e-06,444.4569559515,439.958463077542,435.423586493687,439.958427983116
0.633,0,0.390262800808,-0.298190596222273,-2.83000918902238e-10,0.999960518565191,0.000203351857056318,-0.00048314338490088,-0.0427613034142421,-6.27106951384378e-08,0.0184515298849007,-2.32175375041478e-06,444.389741231805,439.959527035924,435.494344305671,439.959492019151
0.634,0,0.387535847809942,-0.298203379497016,-2.76841322575527e-10,0.999959781309621,0.000202847183446748,-0.000526356278938817,-0.043676400354698,-6.26666814775005e-08,0.0183133775091445,-2.32552072090002e-06,444.322301181381,439.9605881752,435.565300482712,439.960553240934
0.635,0,0.38461970715973,-0.298216241521524,-2.70484785102169e-10,0.999959043180137,0.00020229882774415,-0.0005705189026798,-0.0446595725377011,-6.2619793666088e-08,0.0181752063593545,-2.32925085910742e-06,444.254578081382,439.961646265773,435.636512769855,439.961611419112
0.636,0,0.381520558587193,-0.29822918170606,-2.63929279474302e-10,0.999958304248637,0.000201705807411122,-0.000615695607015131,-0.0457032253609109,-6.25700336161319e-08,0.018037025714031,-2.33294413309319e-06,444.186518007621,439.962701070176,435.708034999369,439.962666316446
0.637,0,0.378245536665839,-0.298242199339049,-2.57172789984017e-10,0.999957564586632,0.000201067079498616,-0.000661942726726499,-0.0467989379253313,-6.25174029929799e-08,0.0178988444070372,-2.33660052810996e-06,444.11807116925,439.963752343045,435.779916752312,439.963717687784
0.638,0,0.374802635039347,-0.298255293591739,-2.50213312556279e-10,0.999956824265235,0.000200381549058229,-0.000709307805266801,-0.0479375660212958,-6.24619033044801e-08,0.0177606708625508,-2.34022004815802e-06,444.049192199911,439.964799831223,435.852203069235,439.964765280163
0.639,0,0.371200605667699,-0.298268463523448,-2.43048855078622e-10,0.999956083355138,0.00019964807827744,-0.000757828924832731,-0.04910934953723,-6.24035359894455e-08,0.0176225131313121,-2.34380271734773e-06,443.979840400157,439.965843274002,435.924934211199,439.965808833049
0.64,0,0.367448854195377,-0.29828170808731,-2.35677437727595e-10,0.999955341926604,0.000198865496230472,-0.00080753414557805,-0.050304023137271,-6.23423025047798e-08,0.0174843789278022,-2.34734858106778e-06,443.909979930394,439.966882403481,435.998145471724,439.966848078696
0.641,0,0.363557332537156,-0.298295026136464,-2.28097093291928e-10,0.999954600049445,0.000198032609134208,-0.000858441056661169,-0.0515109290651398,-6.22782044105286e-08,0.0173462756679896,-2.3508577069543e-06,443.839579954108,439.967916945046,436.071867039802,439.967882742624
0.642,0,0.359536429791131,-0.298308416430611,-2.20305867492378e-10,0.999953857793011,0.000197148210996438,-0.000910556440681553,-0.0527191309273773,-6.22112434521622e-08,0.0172082105072868,-2.35433018565749e-06,443.768614731581,439.96894661795,436.146123913636,439.968912544196
0.643,0,0.355396862550929,-0.298321877642864,-2.12301819298232e-10,0.999953115226171,0.000196211094542758,-0.000963876051927284,-0.0539175273500099,-6.21414216393907e-08,0.0170701903783697,-2.35776613140249e-06,443.697063664777,439.969971135981,436.22093586425,439.969937197294
0.644,0,0.351149565685871,-0.298335408366818,-2.04083021240433e-10,0.999952372417305,0.000195220062308556,-0.00101838450775832,-0.0550949644165445,-6.20687413209212e-08,0.016932222028525,-2.36116568234349e-06,443.624911294516,439.970990208226,436.29631744772,439.97095641107
0.645,0,0.34680558460176,-0.298349007123767,-1.9564755972129e-10,0.999951629434284,0.00019417393778372,-0.00107405529138739,-0.0562403458548138,-6.19932052545314e-08,0.016794312056204,-2.36452900071043e-06,443.552147251446,439.97200353989,436.372278064306,439.971969890778
0.646,0,0.342375969977762,-0.298362672369998,-1.86993535320748e-10,0.999950886344459,0.000193071576499982,-0.00113085086330055,-0.0573427399688261,-6.19148166719509e-08,0.0166564669464805,-2.36785627274989e-06,443.478766162734,439.973010833188,436.448822062407,439.972977338656
0.647,0,0.337871675891436,-0.298376402504088,-1.7811906309918e-10,0.999950143214649,0.000191911876954028,-0.001188722877597,-0.0583914823968843,-6.1833579338054e-08,0.0165186931051304,-2.37114770846298e-06,443.404767516748,439.974011788276,436.525948884874,439.973978454863
0.648,0,0.333303462218494,-0.298390195874139,-1.69022272896653e-10,0.999949400111126,0.000190693791263705,-0.00124761249863021,-0.0593762738150789,-6.17494976039888e-08,0.0163809968910714,-2.37440354114491e-06,443.330155488326,439.975006104221,436.603653254903,439.974972938449
0.649,0,0.328681802101908,-0.298404050784886,-1.59701309628662e-10,0.999948657099606,0.000189416335459669,-0.00130745081249382,-0.0602872717995324,-6.1662576453903e-08,0.0162433846469262,-2.37762402673264e-06,443.254938727529,439.975993479995,436.681925398441,439.97596048835
0.65,0,0.324016795232425,-0.298417965504606,-1.50154333578262e-10,0.999947914245234,0.00018807859932069,-0.00136815932714458,-0.0611151761227985,-6.15728215449846e-08,0.0161058627274973,-2.38080944296888e-06,443.179130115029,439.976973615486,436.760751299771,439.976940804395
0.651,0,0.319318087589638,-0.298431938271791,-1.40379520684585e-10,0.999947171612577,0.000186679755667354,-0.00142965055427272,-0.0618513068560568,-6.14802392406663e-08,0.015968437525968,-2.38396008839243e-06,443.102746487521,439.977946212503,436.840112986754,439.97791358832
0.652,0,0.31459479823349,-0.298445967301509,-1.30375062827697e-10,0.999946429265608,0.000185219069036121,-0.00149182866544042,-0.0624876747172433,-6.13848366368586e-08,0.015831115497673,-2.38707628116673e-06,443.025808336704,439.97891097578,436.919988842008,439.978878544768
0.653,0,0.309855453629774,-0.298460050791413,-1.20139168109754e-10,0.999945687267703,0.00018369590366342,-0.00155459021450036,-0.0630170432131221,-6.12866215812021e-08,0.0156939031813074,-2.39015835776005e-06,442.94833948555,439.97986761396,437.000353936197,439.979835382275
0.654,0,0.305107929924103,-0.298474186927364,-1.09670061132426e-10,0.999944945681627,0.00018210973071767,-0.00161782491789138,-0.0634329822000615,-6.11856026853812e-08,0.0155568072174746,-2.39320667149225e-06,442.870366745679,439.980815840549,437.081180379498,439.980783814225
0.655,0,0.300359403485793,-0.298488373888611,-9.89659832705508e-11,0.999944204569525,0.000180460134725691,-0.00168141648408599,-0.0637299125847458,-6.10817893305901e-08,0.0154198343645008,-2.39622159096458e-06,442.79191955972,439.981755374832,437.162437687267,439.981723559772
0.656,0,0.295616309952195,-0.298502609852504,-8.80251929419799e-11,0.999943463992916,0.000178746819148827,-0.00174524348322642,-0.0639031419804227,-6.09751916663634e-08,0.0152829915114708,-2.39920349838993e-06,442.713029632563,439.982685942754,437.244093155918,439.982654344714
0.657,0,0.290884311924916,-0.29851689299872,-7.68459658735792e-11,0.999942724012684,0.00017696961107312,-0.00180918024785019,-0.0639488912181206,-6.08658206030127e-08,0.0151462856884713,-2.40215278784207e-06,442.633730555426,439.983607277737,437.326112245057,439.983575902322
0.658,0,0.286168275368816,-0.298531221512963,-6.54265953633552e-11,0.999941984689071,0.000175128464987029,-0.00187309779555067,-0.0638643117133658,-6.07536877979407e-08,0.0150097240740519,-2.40506986344293e-06,442.554057426576,439.984519121448,437.408458961968,439.9844879741
0.659,0,0.281472254698915,-0.298545593590141,-5.3765392538668e-11,0.999941246081668,0.00017322346562933,-0.0019368647644579,-0.0636474937600976,-6.06388056362239e-08,0.0148733139999412,-2.40795513750763e-06,442.4740464725,439.9854212245,437.491096244663,439.985390310493
0.66,0,0.276799486436754,-0.298560007436992,-4.18606866105029e-11,0.999940508249414,0.000171254829898874,-0.00200034835254616,-0.0632974659251793,-6.05211872058577e-08,0.0147370629530831,-2.4108090286667e-06,442.393734673175,439.986313347082,437.573986339832,439.986282671518
0.661,0,0.272152391261082,-0.298574461274171,-2.97108251237665e-11,0.999939771250582,0.000169222907826796,-0.00206341525198166,-0.0628141857784083,-6.04008462680812e-08,0.0146009785750783,-2.4136319599853e-06,442.313159394958,439.987195259526,437.657091172184,439.987164827333
0.662,0,0.267532584182088,-0.29858895333779,-1.73141742035827e-11,0.999939035142782,0.000167128182620424,-0.0021259325700005,-0.0621985222856988,-6.02777972232683e-08,0.0144650686591402,-2.41642435709845e-06,442.232358034442,439.988066742789,437.740372701884,439.988036558718
