time_s,displacement_m,velocity_m_per_s,acceleration_m_per_s2,elastic_force_n,damping_force_n,raw_force_n,force_n,analytical_force_n,contact_active
0.052000000000000005,3.3285139480329905e-05,0.00127734930844229,0.02434549984361746,0.016642569740164953,0.0255469861688458,0.04218955590901075,0.04218955590901075,0.04218955590901075,1.0
0.053,3.457465942752785e-05,0.0013016884647781913,0.024332772791871304,0.017287329713763927,0.026033769295563825,0.04332109900932775,0.04332109900932775,0.04332109900932775,1.0
0.054,3.588851212750488e-05,0.0013260147739744582,0.024319805585481226,0.01794425606375244,0.026520295479489163,0.0444645515432416,0.0444645515432416,0.0444645515432416,1.0
0.055,3.7226684613065334e-05,0.0013503279959402397,0.02430659835242832,0.018613342306532665,0.027006559918804796,0.04561990222533746,0.04561990222533746,0.04561990222533746,1.0
0.056,3.858916367698667e-05,0.0013746278907138508,0.02429315122306265,0.019294581838493335,0.027492557814277015,0.04678713965277035,0.04678713965277035,0.04678713965277035,1.0
0.057,3.997593587215076e-05,0.0013989142184651405,0.024279464330101953,0.01998796793607538,0.02797828436930281,0.04796625230537819,0.04796625230537819,0.04796625230537819,1.0
0.058,4.138698751167569e-05,0.0014231867394978582,0.024265537808630333,0.020693493755837844,0.028463734789957167,0.04915722854579501,0.04915722854579501,0.04915722854579501,1.0
0.059000000000000004,4.282230466905207e-05,0.001447445214252021,0.024251371796096932,0.021411152334526035,0.02894890428504042,0.050360056619566454,0.050360056619566454,0.050360056619566454,1.0
0.06,4.4281873178278196e-05,0.001471689403306276,0.024236966432314582,0.0221409365891391,0.029433788066125517,0.051574724655264616,0.051574724655264616,0.051574724655264616,1.0
0.061,4.576567863400272e-05,0.0014959190673802657,0.024222321859458402,0.022882839317001358,0.029918381347605313,0.05280122066460667,0.05280122066460667,0.05280122066460667,1.0
0.062,4.7273706391664786e-05,0.0015201339673369873,0.024207438222064417,0.023636853195832395,0.030402679346739746,0.05403953254257214,0.05403953254257214,0.05403953254257214,1.0
0.063,4.880594156763896e-05,0.0015443338641851546,0.02419231566702812,0.02440297078381948,0.03088667728370309,0.05528964806752257,0.05528964806752257,0.05528964806752257,1.0
