target_id,population_stratum,stiffness_n_per_m,damping_n_s_per_m,effective_mass_kg,actual_risk_class,actual_severity_ratio
broad_s10105_c01,broad,215.3438931340788,0.535861545000636,3.569564489831158,UNSAFE,2.437808807766995
broad_s10105_c02,broad,1312.6871991881944,0.4246202840404897,4.313119621637343,SAFE,0.13330476999565838
broad_s10105_c03,broad,1878.6836395018745,12.40454370570904,0.9934018562279763,SAFE,0.08958662720350073
broad_s10105_c04,broad,262.55790754420417,21.001906021574747,0.26008095083299626,SAFE,0.6347806022128908
broad_s10105_c05,broad,777.2122486130502,5.752982779513551,1.588892176843898,SAFE,0.22421142806248506
broad_s10105_c06,broad,615.7647300411745,47.66297779541474,0.12526074457781164,SAFE,0.27066614655815335
broad_s10105_c07,broad,119.0799324720331,1.179981644649565,0.663538818242628,UNSAFE,1.7160062963007225
broad_s10105_c08,broad,77.02945094565644,3.4179012376989486,1.2656764366507822,UNSAFE,3.018250333739335
broad_s10105_c09,broad,1746.4090858231493,0.9631597424676425,0.5249727043693266,SAFE,0.09575858062099697
broad_s10105_c10,broad,444.9453253193354,30.198947599402103,3.017730426539386,SAFE,0.41205317132396646
broad_s10105_c11,broad,157.29664850311676,2.6851702765208088,0.29258039765897476,CAUTION,1.098632641607237
broad_s10106_c00,broad,1665.394815334749,1.6122299541317398,1.140589181929902,SAFE,0.10242671056952142
broad_s10106_c01,broad,118.78556168015061,0.4868255783230247,2.255942929476358,UNSAFE,4.101284751780076
broad_s10106_c02,broad,234.46367132622697,4.129786381130447,0.32355435134912974,SAFE,0.7295540691073625
broad_s10106_c03,broad,357.31700367256474,52.15878990204751,5.041336803332858,SAFE,0.49339571995465664
broad_s10106_c04,broad,85.14580356938703,15.280410715875629,1.787469223819398,UNSAFE,2.082153802967699
broad_s10106_c05,broad,680.6153602885425,36.45132074476677,0.6345373385168341,SAFE,0.24496059373409282
broad_s10106_c06,broad,2395.3122251826203,1.0618728809167568,0.1435125538130335,SAFE,0.06966110053650995
broad_s10106_c07,broad,944.1945248260073,17.672009340517153,0.8368338218800221,SAFE,0.17905396311262975
broad_s10106_c08,broad,290.7458258591793,4.628158321125203,0.14004133411294847,SAFE,0.5773544853713334
broad_s10106_c09,broad,517.4171772353407,2.2065135052053795,3.2717343617664874,UNSAFE,1.5
broad_s10106_c10,broad,170.3489542984169,7.413539744149287,0.4200081874782148,CAUTION,1.0092720042391712
broad_s10106_c11,broad,1284.558076142304,0.44183051617400265,0.23051146672548337,SAFE,0.13048013494414198
broad_s10107_c00,broad,1181.444817614253,17.810150871358125,0.14709645087811035,SAFE,0.14115857870525847
broad_s10107_c01,broad,311.48405682973686,45.96167521160748,0.346847781882266,SAFE,0.535072864867306
broad_s10107_c02,broad,502.9454369703708,3.2284649283713533,4.916562912121364,UNSAFE,1.488
broad_s10107_c03,broad,90.90750239359284,15.29011602843378,1.9269805681003662,UNSAFE,1.9841969588723891
broad_s10107_c04,broad,215.3514517342702,0.7860569335774436,3.4692526057200332,UNSAFE,2.215764804184075
broad_s10107_c05,broad,405.2277987710781,0.30610500646113215,0.7622492909033021,SAFE,0.8320000000000001
broad_s10107_c06,broad,786.5891206985278,1.3881436437310914,0.11377901710652533,SAFE,0.21246160310086967
broad_s10107_c07,broad,739.967640934038,4.271711988613076,1.3874271175270823,SAFE,0.23653906213146897
broad_s10107_c08,broad,1482.30265365462,2.0207789696549527,0.39153651582123633,SAFE,0.11315633213754908
broad_s10107_c09,broad,135.5121447070222,0.6972759075514998,0.2747717022193724,CAUTION,1.2905416430391845
broad_s10107_c10,broad,1954.2905665216892,28.42403583879274,2.9211091256017427,SAFE,0.08796616486358527
broad_s10107_c11,broad,121.67944975563859,8.102860744891046,0.8207084977496728,CAUTION,1.5094725023395352
broad_s10108_c00,broad,181.03788500262553,24.999019235643523,0.2333238469212713,SAFE,0.9206176191344659
broad_s10108_c01,broad,365.0309362302584,44.19668707774811,0.1524606075220126,SAFE,0.4565823061124953
broad_s10108_c02,broad,958.0568421646575,0.3654523905048454,3.6460708071794414,CAUTION,1.342
broad_s10108_c03,broad,1890.3551800262687,0.6364574893525361,0.36385727894788217,SAFE,0.08854751801875219
