observation_duration_s,noise_regime,feature_set,outcome,trial_count,median_absolute_error,p95_absolute_error,median_abs_relative_error,p95_abs_relative_error,upper_bound_coverage
0.25,nominal,ringdown_only,late_hold_oscillation_rms_m,240,8.406063382338823e-07,0.0017672575359881336,0.985411393097873,277.1410626639069,0.9625
0.25,nominal,ringdown_only,hold_settling_time_s,240,0.311382560484163,1.7567165231520998,2.6967889466772723,875803124.8832474,0.9375
0.25,nominal,chirp_ringdown,peak_displacement_m,240,0.00016280125031416476,0.002995245572584549,0.04640721278388314,0.17424123271521536,0.9666666666666667
0.25,nominal,chirp_ringdown,peak_velocity_m_per_s,240,0.0004482630251708671,0.0066179484707814705,0.03513961086733004,0.12633312289124246,0.95
0.25,nominal,chirp_ringdown,late_hold_oscillation_rms_m,240,2.9502555806274364e-07,0.0019967295235740674,0.8767537384678293,21.63164109285595,0.9541666666666667
0.25,nominal,chirp_ringdown,hold_settling_time_s,240,0.060586328110201204,0.9616204837351184,0.28237514648325623,222663527.24001282,0.9625
0.25,nominal,physical_chirp_ringdown,peak_displacement_m,240,0.00016169087594683246,0.0029871693816689855,0.04415123803285324,0.17404809300291857,0.9708333333333333
0.25,nominal,physical_chirp_ringdown,peak_velocity_m_per_s,240,0.0004281370872694368,0.0065514151242875305,0.03547960564427462,0.12470155812753914,0.95
0.25,nominal,physical_chirp_ringdown,late_hold_oscillation_rms_m,240,2.2700224826457626e-07,0.0016170843347157213,0.8528126144016339,17.295414524485622,0.95
0.25,nominal,physical_chirp_ringdown,hold_settling_time_s,240,0.06191744453005142,0.9987472535687505,0.3089514504518823,210095216.12616688,0.9625
0.25,high,chirp_only,peak_displacement_m,240,0.00023369859476135135,0.0031706878033020895,0.04714226023576421,0.19153614967935295,0.9541666666666667
0.25,high,chirp_only,peak_velocity_m_per_s,240,0.0005547486604665103,0.008589365376463211,0.04461476785177008,0.16261033297136188,0.9458333333333333
0.25,high,chirp_only,late_hold_oscillation_rms_m,240,3.126609395689295e-07,0.003060572979071509,0.9136321953755107,18.566535640573097,0.9083333333333333
0.25,high,chirp_only,hold_settling_time_s,240,0.057146821356759414,0.9916315697756566,0.2628287579115389,248946557.38745594,0.9666666666666667
0.25,high,ringdown_only,peak_displacement_m,240,0.0019011068352571753,0.011879701632292544,0.3880622451590672,1.752824865625203,0.9583333333333334
0.25,high,ringdown_only,peak_velocity_m_per_s,240,0.006283663900036193,0.04105533426638329,0.35718646858377584,1.4307045739109525,0.9666666666666667
0.25,high,ringdown_only,late_hold_oscillation_rms_m,240,8.264873947046622e-07,0.0016449057499195465,1.1261206940148525,201.32777411113005,0.9458333333333333
0.25,high,ringdown_only,hold_settling_time_s,240,0.3075430441041417,1.8951524820100745,1.0573017809020187,821062488.6592286,0.9208333333333333
0.25,high,chirp_ringdown,peak_displacement_m,240,0.000199676616147526,0.0031993373027225055,0.048127711585791995,0.19943987552648124,0.9583333333333334
0.25,high,chirp_ringdown,peak_velocity_m_per_s,240,0.0006172620537635196,0.007852997523976557,0.04254105629644281,0.14766952190616975,0.9458333333333333
0.25,high,chirp_ringdown,late_hold_oscillation_rms_m,240,2.0918160056731263e-07,0.002168694801467434,0.8833836743866037,18.68938067151594,0.9208333333333333
0.25,high,chirp_ringdown,hold_settling_time_s,240,0.0734069206571028,1.0078711057149552,0.26545997099633833,186036418.79511037,0.9583333333333334
0.25,high,physical_chirp_ringdown,peak_displacement_m,240,0.00017619663218795042,0.00314035017071516,0.046659299555329735,0.19935814407851948,0.9625
0.25,high,physical_chirp_ringdown,peak_velocity_m_per_s,240,0.0006226049416222078,0.007890181445111668,0.042829518986230594,0.1473288349698477,0.9416666666666667
0.25,high,physical_chirp_ringdown,late_hold_oscillation_rms_m,240,3.229405507816464e-07,0.002149774290536469,0.8505578811039308,19.712702496772568,0.925
0.25,high,physical_chirp_ringdown,hold_settling_time_s,240,0.08034888029046446,1.0032691903186353,0.2578839776256856,185986351.99681073,0.9583333333333334
0.5,low,chirp_only,peak_displacement_m,240,0.00022582744386692808,0.0024393573998932666,0.04645120871845104,0.16409271156537028,0.9708333333333333
0.5,low,chirp_only,peak_velocity_m_per_s,240,0.0005367184710824251,0.00646996194292551,0.04244264806740509,0.16556381097864406,0.975
0.5,low,chirp_only,late_hold_oscillation_rms_m,240,2.562144481322362e-07,0.001680864448725884,0.8726138203800291,16.973988128554094,0.9208333333333333
0.5,low,chirp_only,hold_settling_time_s,240,0.07071343198189028,0.9741129984090243,0.2471449827832286,282683064.8454642,0.9666666666666667
0.5,low,ringdown_only,peak_displacement_m,240,0.001832233069394836,0.011659304264624417,0.3440707942520496,1.6070068609157544,0.975
0.5,low,ringdown_only,peak_velocity_m_per_s,240,0.005424460154145791,0.034130761394509324,0.32586327025205797,1.4771085997984525,0.975
0.5,low,ringdown_only,late_hold_oscillation_rms_m,240,1.9413777602458026e-07,0.002209498162928148,0.776155334974993,15.264245635123403,0.9708333333333333
0.5,low,ringdown_only,hold_settling_time_s,240,0.1438497819786842,1.4346783324626395,0.5454555453994097,554660184.4163065,0.9208333333333333
0.5,low,chirp_ringdown,peak_displacement_m,240,0.00016598896612160237,0.002333787627493999,0.04419878746934735,0.16757257978978699,0.9791666666666666
0.5,low,chirp_ringdown,peak_velocity_m_per_s,240,0.0004933977641840524,0.005324058165460773,0.033151514362061194,0.12946846935478654,0.9625
0.5,low,chirp_ringdown,late_hold_oscillation_rms_m,240,1.7811578500867872e-07,0.0011413242328300842,0.7353637682400068,9.701695725926092,0.9791666666666666
0.5,low,chirp_ringdown,hold_settling_time_s,240,0.07137106567493505,0.8007769301664152,0.4367740469132001,245580223.9310866,0.9666666666666667
0.5,low,physical_chirp_ringdown,peak_displacement_m,240,0.00016918294636922965,0.002249051438160074,0.04022062446315232,0.15649053308218835,0.975
0.5,low,physical_chirp_ringdown,peak_velocity_m_per_s,240,0.0004863533074366457,0.005335462654945874,0.033437665572976796,0.12571493798800096,0.9541666666666667
0.5,low,physical_chirp_ringdown,late_hold_oscillation_rms_m,240,1.5256580208324758e-07,0.001412428341158564,0.722535737432427,8.183750095992199,0.975
0.5,low,physical_chirp_ringdown,hold_settling_time_s,240,0.07107898202289654,0.8265354640320307,0.4143253837351032,259546532.38237232,0.9708333333333333
0.5,nominal,chirp_only,peak_displacement_m,240,0.0002019722636251815,0.002929618191664315,0.04816535533467865,0.16618433967590296,0.9625
0.5,nominal,chirp_only,peak_velocity_m_per_s,240,0.00041663747718044064,0.007083586648864829,0.038978467878216655,0.15778580833714376,0.9666666666666667
0.5,nominal,chirp_only,late_hold_oscillation_rms_m,240,3.185148817448692e-07,0.0020591496965017653,0.9141261800079903,18.420168649648073,0.9041666666666667
0.5,nominal,chirp_only,hold_settling_time_s,240,0.0792782678771082,0.9394175435350767,0.294348732367561,286312641.96321917,0.9708333333333333
0.5,nominal,ringdown_only,peak_displacement_m,240,0.0015215608160997537,0.01143966670752552,0.3027060361591426,1.6894091769654822,0.9708333333333333
0.5,nominal,ringdown_only,peak_velocity_m_per_s,240,0.004763786902068613,0.03405070192103085,0.29260491239965336,1.3449591019408487,0.975
0.5,nominal,ringdown_only,late_hold_oscillation_rms_m,240,1.7851458014661105e-07,0.002891761155651844,0.9446001303276956,19.36407910980565,0.9708333333333333
0.5,nominal,ringdown_only,hold_settling_time_s,240,0.14415069719106902,1.4343537810209814,0.5954531727430069,533439816.8753353,0.9291666666666667
0.5,nominal,chirp_ringdown,peak_displacement_m,240,0.00014323849809393238,0.002265625599154719,0.0406860439215519,0.16189132434991305,0.975
0.5,nominal,chirp_ringdown,peak_velocity_m_per_s,240,0.0004690778914344818,0.005084020788859009,0.031299301793566776,0.1408165723921957,0.9666666666666667
0.5,nominal,chirp_ringdown,late_hold_oscillation_rms_m,240,2.1203139093513392e-07,0.0009554280216400853,0.8544719831149268,7.352846285056434,0.9708333333333333
0.5,nominal,chirp_ringdown,hold_settling_time_s,240,0.05708782672436585,0.7779415485400937,0.2366426960385246,241338252.80270368,0.9708333333333333
0.5,nominal,physical_chirp_ringdown,peak_displacement_m,240,0.00014917373865268996,0.002221993271054621,0.03933497866722049,0.15725930232152893,0.9708333333333333
0.5,nominal,physical_chirp_ringdown,peak_velocity_m_per_s,240,0.0004922513747291873,0.00501159572394437,0.032404890235757634,0.1375232405261032,0.9666666666666667
0.5,nominal,physical_chirp_ringdown,late_hold_oscillation_rms_m,240,2.0112284403031352e-07,0.001549640514499588,0.8503222148177756,7.4397360474295695,0.9625
0.5,nominal,physical_chirp_ringdown,hold_settling_time_s,240,0.05508749070971684,0.7909692791649456,0.259536452298229,248740770.6165667,0.9708333333333333
0.5,high,chirp_only,peak_displacement_m,240,0.00023369859476135135,0.0031706878033020895,0.04714226023576421,0.19153614967935295,0.9541666666666667
0.5,high,chirp_only,peak_velocity_m_per_s,240,0.0005547486604665103,0.008589365376463211,0.04461476785177008,0.16261033297136188,0.9458333333333333
0.5,high,chirp_only,late_hold_oscillation_rms_m,240,3.126609395689295e-07,0.003060572979071509,0.9136321953755107,18.566535640573097,0.9083333333333333
0.5,high,chirp_only,hold_settling_time_s,240,0.057146821356759414,0.9916315697756566,0.2628287579115389,248946557.38745594,0.9666666666666667
0.5,high,ringdown_only,peak_displacement_m,240,0.001548643009747172,0.01150280435965852,0.3096666688942148,1.6158370661819126,0.975
0.5,high,ringdown_only,peak_velocity_m_per_s,240,0.004393899536718323,0.033173423800864535,0.2947772815059958,1.4077478344679573,0.975
0.5,high,ringdown_only,late_hold_oscillation_rms_m,240,2.4570083644676043e-07,0.0035636291042387995,1.0111778235119409,36.70556105814529,0.9666666666666667
0.5,high,ringdown_only,hold_settling_time_s,240,0.16520303169348272,1.460060782406015,0.708197626803203,1026156821.9818829,0.9333333333333333
0.5,high,chirp_ringdown,peak_displacement_m,240,0.0002271378497316883,0.00258566603429067,0.050137626253806675,0.1839014220980597,0.9583333333333334
0.5,high,chirp_ringdown,peak_velocity_m_per_s,240,0.0004799037080495498,0.0072731161149041535,0.041550272306783,0.148082974728204,0.9333333333333333
0.5,high,chirp_ringdown,late_hold_oscillation_rms_m,240,1.5956352974058856e-07,0.0014485934591474442,0.8482721288646862,9.955546001087606,0.9625
0.5,high,chirp_ringdown,hold_settling_time_s,240,0.0763587620494518,0.8316189538525603,0.23851058474179704,238828389.87383455,0.9625
0.5,high,physical_chirp_ringdown,peak_displacement_m,240,0.0001990115209190436,0.0025033469771486632,0.04562571138659907,0.2067684484483727,0.95
0.5,high,physical_chirp_ringdown,peak_velocity_m_per_s,240,0.0004888049541196624,0.007016362243396526,0.04424446216999029,0.15375183038892817,0.9333333333333333
0.5,high,physical_chirp_ringdown,late_hold_oscillation_rms_m,240,1.983542278262151e-07,0.0015862585914242183,0.8411446037686349,11.946248145938668,0.9416666666666667
