predictor,feature_set,noise_regime,trial_count,accuracy,false_safe_rate,false_safe_fraction,false_unsafe_rate,contact_loss_accuracy,contact_loss_recall,safe_precision,safe_recall,caution_precision,caution_recall,unsafe_precision,unsafe_recall,confusion_safe_safe,confusion_safe_caution,confusion_safe_unsafe,confusion_caution_safe,confusion_caution_caution,confusion_caution_unsafe,confusion_unsafe_safe,confusion_unsafe_caution,confusion_unsafe_unsafe,brier_score,expected_calibration_error
logistic,stiffness_only,nominal,240,0.45416666666666666,0.03896103896103896,0.0125,0.0,0.8583333333333333,0.0,0.9655172413793104,0.5153374233128835,0.16339869281045752,0.9615384615384616,0.0,0.0,84,79,0,1,25,0,2,49,0,0.385421203766953,0.05589852614411912
logistic,time_domain,high,240,0.6625,0.025974025974025976,0.008333333333333333,0.024539877300613498,0.8416666666666667,0.4117647058823529,0.9831932773109243,0.7177914110429447,0.2247191011235955,0.7692307692307693,0.6875,0.43137254901960786,117,42,4,0,20,6,2,27,22,0.2950455240541291,0.04683262950346047
logistic,time_domain,low,240,0.6833333333333333,0.025974025974025976,0.008333333333333333,0.04294478527607362,0.8541666666666666,0.7058823529411765,0.9827586206896551,0.6993865030674846,0.22666666666666666,0.6538461538461539,0.673469387755102,0.6470588235294118,114,42,7,0,17,9,2,16,33,0.28393385717283326,0.04611193332531125
logistic,time_domain,nominal,240,0.6708333333333333,0.025974025974025976,0.008333333333333333,0.024539877300613498,0.8541666666666666,0.5294117647058824,0.9830508474576272,0.7116564417177914,0.2235294117647059,0.7307692307692307,0.7027027027027027,0.5098039215686274,116,43,4,0,19,7,2,23,26,0.2891614255892641,0.055985631924036106
outcome_bound,combined_task,high,240,0.8708333333333333,0.06493506493506493,0.020833333333333332,0.018404907975460124,0.9708333333333333,0.9705882352941176,0.9671052631578947,0.901840490797546,0.5277777777777778,0.7307692307692307,0.8269230769230769,0.8431372549019608,147,13,3,1,19,6,4,4,43,nan,nan
outcome_bound,combined_task,low,240,0.8583333333333333,0.025974025974025976,0.008333333333333333,0.024539877300613498,0.975,0.9705882352941176,0.9861111111111112,0.8711656441717791,0.4772727272727273,0.8076923076923077,0.8269230769230769,0.8431372549019608,142,17,4,0,21,5,2,6,43,nan,nan
outcome_bound,combined_task,nominal,240,0.8625,0.03896103896103896,0.0125,0.018404907975460124,0.9708333333333333,0.9705882352941176,0.9797297297297297,0.8895705521472392,0.48717948717948717,0.7307692307692307,0.8113207547169812,0.8431372549019608,145,15,3,0,19,7,3,5,43,nan,nan
outcome_bound,frequency_response,high,240,0.8,0.05194805194805195,0.016666666666666666,0.03680981595092025,0.9083333333333333,0.8235294117647058,0.9714285714285714,0.8343558282208589,0.3333333333333333,0.5,0.7049180327868853,0.8431372549019608,136,21,6,1,13,12,3,5,43,nan,nan
outcome_bound,frequency_response,low,240,0.8,0.05194805194805195,0.016666666666666666,0.04294478527607362,0.925,0.8235294117647058,0.9710144927536232,0.8220858895705522,0.35714285714285715,0.5769230769230769,0.7166666666666667,0.8431372549019608,134,22,7,1,15,10,3,5,43,nan,nan
outcome_bound,frequency_response,nominal,240,0.7916666666666666,0.06493506493506493,0.020833333333333332,0.04294478527607362,0.9083333333333333,0.8235294117647058,0.9642857142857143,0.8282208588957055,0.32432432432432434,0.46153846153846156,0.6825396825396826,0.8431372549019608,135,21,7,1,12,13,4,4,43,nan,nan
