observation_duration_s,noise_regime,feature_set,trial_count,accuracy,false_safe_rate,false_safe_fraction,false_safe_count,false_unsafe_rate,safe_precision,safe_recall,caution_precision,caution_recall,unsafe_precision,unsafe_recall,confusion_safe_safe,confusion_safe_caution,confusion_safe_unsafe,confusion_caution_safe,confusion_caution_caution,confusion_caution_unsafe,confusion_unsafe_safe,confusion_unsafe_caution,confusion_unsafe_unsafe
0.5,low,chirp_only,240,0.8791666666666667,0.012195121951219513,0.004166666666666667,1,0.012658227848101266,0.9931506849315068,0.9177215189873418,0.6052631578947368,0.6764705882352942,0.7678571428571429,0.8958333333333334,145,11,2,0,23,11,1,4,43
0.5,low,ringdown_only,240,0.5666666666666667,0.012195121951219513,0.004166666666666667,1,0.1962025316455696,0.9887640449438202,0.5569620253164557,0.06666666666666667,0.08823529411764706,0.42452830188679247,0.9375,88,39,31,1,3,30,0,3,45
0.5,low,chirp_ringdown,240,0.8291666666666667,0.0,0.0,0,0.012658227848101266,1.0,0.8417721518987342,0.45098039215686275,0.6764705882352942,0.7678571428571429,0.8958333333333334,133,23,2,0,23,11,0,5,43
0.5,low,physical_chirp_ringdown,240,0.8333333333333334,0.0,0.0,0,0.012658227848101266,1.0,0.8481012658227848,0.46,0.6764705882352942,0.7678571428571429,0.8958333333333334,134,22,2,0,23,11,0,5,43
0.5,nominal,chirp_only,240,0.8916666666666667,0.024390243902439025,0.008333333333333333,2,0.012658227848101266,0.9864864864864865,0.9240506329113924,0.6578947368421053,0.7352941176470589,0.7962962962962963,0.8958333333333334,146,10,2,0,25,9,2,3,43
0.5,nominal,ringdown_only,240,0.5708333333333333,0.012195121951219513,0.004166666666666667,1,0.18354430379746836,0.9888888888888889,0.5632911392405063,0.06521739130434782,0.08823529411764706,0.4326923076923077,0.9375,89,40,29,1,3,30,0,3,45
0.5,nominal,chirp_ringdown,240,0.8333333333333334,0.0,0.0,0,0.012658227848101266,1.0,0.8291139240506329,0.46296296296296297,0.7352941176470589,0.8,0.9166666666666666,131,25,2,0,25,9,0,4,44
0.5,nominal,physical_chirp_ringdown,240,0.8375,0.0,0.0,0,0.012658227848101266,1.0,0.8354430379746836,0.4727272727272727,0.7647058823529411,0.8113207547169812,0.8958333333333334,132,24,2,0,26,8,0,5,43
0.5,high,chirp_only,240,0.8791666666666667,0.036585365853658534,0.0125,3,0.0189873417721519,0.9797297297297297,0.9177215189873418,0.6571428571428571,0.6764705882352942,0.7543859649122807,0.8958333333333334,145,10,3,0,23,11,3,2,43
0.5,high,ringdown_only,240,0.6083333333333333,0.0,0.0,0,0.14556962025316456,1.0,0.6012658227848101,0.08888888888888889,0.11764705882352941,0.47,0.9791666666666666,95,40,23,0,4,30,0,1,47
0.5,high,chirp_ringdown,240,0.8291666666666667,0.0,0.0,0,0.006329113924050633,1.0,0.8417721518987342,0.4423076923076923,0.6764705882352942,0.7818181818181819,0.8958333333333334,133,24,1,0,23,11,0,5,43
0.5,high,physical_chirp_ringdown,240,0.8375,0.0,0.0,0,0.006329113924050633,1.0,0.8481012658227848,0.46296296296296297,0.7352941176470589,0.8076923076923077,0.875,134,23,1,0,25,9,0,6,42
1.0,low,chirp_only,240,0.8791666666666667,0.012195121951219513,0.004166666666666667,1,0.012658227848101266,0.9931506849315068,0.9177215189873418,0.6052631578947368,0.6764705882352942,0.7678571428571429,0.8958333333333334,145,11,2,0,23,11,1,4,43
1.0,low,ringdown_only,240,0.5833333333333334,0.024390243902439025,0.008333333333333333,2,0.18354430379746836,0.9782608695652174,0.569620253164557,0.04878048780487805,0.058823529411764705,0.4485981308411215,1.0,90,39,29,2,2,30,0,0,48
1.0,low,chirp_ringdown,240,0.8166666666666667,0.0,0.0,0,0.0,1.0,0.8291139240506329,0.4074074074074074,0.6470588235294118,0.7818181818181819,0.8958333333333334,131,27,0,0,22,12,0,5,43
1.0,low,physical_chirp_ringdown,240,0.8125,0.0,0.0,0,0.0,1.0,0.8164556962025317,0.4,0.6470588235294118,0.7857142857142857,0.9166666666666666,129,29,0,0,22,12,0,4,44
1.0,nominal,chirp_only,240,0.8916666666666667,0.024390243902439025,0.008333333333333333,2,0.012658227848101266,0.9864864864864865,0.9240506329113924,0.6578947368421053,0.7352941176470589,0.7962962962962963,0.8958333333333334,146,10,2,0,25,9,2,3,43
1.0,nominal,ringdown_only,240,0.5916666666666667,0.024390243902439025,0.008333333333333333,2,0.2088607594936709,0.978494623655914,0.5759493670886076,0.08108108108108109,0.08823529411764706,0.43636363636363634,1.0,91,34,33,2,3,29,0,0,48
1.0,nominal,chirp_ringdown,240,0.8333333333333334,0.0,0.0,0,0.0,1.0,0.8354430379746836,0.44642857142857145,0.7352941176470589,0.8269230769230769,0.8958333333333334,132,26,0,0,25,9,0,5,43
1.0,nominal,physical_chirp_ringdown,240,0.825,0.0,0.0,0,0.006329113924050633,1.0,0.8354430379746836,0.4339622641509434,0.6764705882352942,0.7818181818181819,0.8958333333333334,132,25,1,0,23,11,0,5,43
1.0,high,chirp_only,240,0.8791666666666667,0.036585365853658534,0.0125,3,0.0189873417721519,0.9797297297297297,0.9177215189873418,0.6571428571428571,0.6764705882352942,0.7543859649122807,0.8958333333333334,145,10,3,0,23,11,3,2,43
1.0,high,ringdown_only,240,0.6416666666666667,0.024390243902439025,0.008333333333333333,2,0.1518987341772152,0.9803921568627451,0.6329113924050633,0.15,0.17647058823529413,0.4897959183673469,1.0,100,34,24,2,6,26,0,0,48
1.0,high,chirp_ringdown,240,0.8375,0.0,0.0,0,0.006329113924050633,1.0,0.8544303797468354,0.46153846153846156,0.7058823529411765,0.7924528301886793,0.875,135,22,1,0,24,10,0,6,42
1.0,high,physical_chirp_ringdown,240,0.8416666666666667,0.0,0.0,0,0.006329113924050633,1.0,0.8544303797468354,0.47058823529411764,0.7058823529411765,0.7962962962962963,0.8958333333333334,135,22,1,0,24,10,0,5,43
1.5,low,chirp_only,240,0.8791666666666667,0.012195121951219513,0.004166666666666667,1,0.012658227848101266,0.9931506849315068,0.9177215189873418,0.6052631578947368,0.6764705882352942,0.7678571428571429,0.8958333333333334,145,11,2,0,23,11,1,4,43
1.5,low,ringdown_only,240,0.5625,0.012195121951219513,0.004166666666666667,1,0.2848101265822785,0.9880952380952381,0.5253164556962026,0.11764705882352941,0.11764705882352941,0.39344262295081966,1.0,83,30,45,1,4,29,0,0,48
1.5,low,chirp_ringdown,240,0.8166666666666667,0.0,0.0,0,0.006329113924050633,1.0,0.8227848101265823,0.41818181818181815,0.6764705882352942,0.7818181818181819,0.8958333333333334,130,27,1,0,23,11,0,5,43
1.5,low,physical_chirp_ringdown,240,0.8166666666666667,0.0,0.0,0,0.006329113924050633,1.0,0.8227848101265823,0.41818181818181815,0.6764705882352942,0.7818181818181819,0.8958333333333334,130,27,1,0,23,11,0,5,43
