contact_mode,target,probe,sensing_regime,pipeline,severity,trial_count,stiffness_bias,stiffness_rmse,stiffness_relative_bias,stiffness_relative_rmse,stiffness_p95_abs_relative_error,stiffness_worst_abs_relative_error,stiffness_eiv_relative_bias,stiffness_eiv_relative_rmse,damping_bias,damping_rmse,damping_relative_bias,damping_relative_rmse,damping_p95_abs_relative_error,damping_worst_abs_relative_error,damping_eiv_relative_bias,damping_eiv_relative_rmse,effective_mass_bias,effective_mass_rmse,effective_mass_relative_bias,effective_mass_relative_rmse,effective_mass_p95_abs_relative_error,effective_mass_worst_abs_relative_error,effective_mass_eiv_relative_bias,effective_mass_eiv_relative_rmse,parameter_error_median,parameter_error_p95,parameter_error_worst,rank_minimum,rank_deficient_fraction,normalized_singular_value_1_median,normalized_singular_value_2_median,normalized_singular_value_3_median,condition_number_median,condition_number_p95,parameter_correlation_median,parameter_correlation_p95,rls_convergence_fraction,rls_convergence_time_median_s,rls_convergence_time_p95_s,ratio_estimate_valid_fraction,natural_frequency_relative_bias,natural_frequency_relative_rmse,natural_frequency_p95_abs_relative_error,damping_ratio_relative_bias,damping_ratio_relative_rmse,damping_ratio_p95_abs_relative_error,peak_force_n,absolute_impulse_n_s,absolute_input_energy_j,peak_target_displacement_m,rms_target_displacement_m,peak_target_velocity_m_per_s,peak_target_acceleration_m_per_s2,normalized_information_score,information_per_peak_displacement,information_per_input_energy,estimation_error_per_peak_displacement,estimation_error_per_input_energy,filter_delay_s,maximum_peak_force_n,maximum_peak_target_displacement_m
bilateral,high_effective_mass,multisine,no_direct_velocity,finite_difference,mild,10,-25.61652315155856,25.817241861449517,-0.08538841050519522,0.08605747287149838,0.10158253589253595,0.10628515687724871,-0.08196569234241345,0.08253634672883454,0.40124476451131114,0.5314705106581012,0.08024895290226222,0.10629410213162026,0.18021616678385052,0.20021122475857692,-0.025595894412108695,0.07190891103955793,-0.402063275826004,0.40416918964439436,-0.08041265516520078,0.08083383792887887,0.0912310077377707,0.09299274850028957,-0.07416798411972524,0.07456628342857831,0.07803543152367412,0.12621458011975392,0.13718774417781923,3,0.0,1.34450361073555,1.0000618453715862,0.4384870067022799,3.0662360184593433,3.105706449554689,0.8076874147284339,0.8120901208366156,0.9,1.58,2.4112,1.0,0.0017450026789109486,0.003772804487327722,0.006916511088358538,0.06998061700447482,0.10314519957296812,0.1829279140825023,0.9088358012080359,0.8512708569693745,0.008944385040593042,0.0030843320956877593,0.0014694626242662328,0.02446842808343552,0.2578683316071121,0.838511488663424,2.718616097909031,0.9374724867701223,0.2530059316011281,0.08724516125985127,0.0,0.9088358012080359,0.0030843320956877593
bilateral,high_effective_mass,multisine,no_direct_velocity,low_pass,mild,10,-3.2756004989850966,5.19921325049905,-0.010918668329950322,0.017330710834996835,0.028910347062635934,0.029136102631867403,0.16118838963363832,0.16170350626302996,0.35442554501199136,0.5131681592046984,0.07088510900239828,0.10263363184093968,0.1782358177540917,0.1987362598951611,-0.5143202584300907,0.5193951637573132,-0.06581321077735183,0.08741560214028858,-0.013162642155470366,0.01748312042805772,0.02868656486307315,0.02896463262802662,0.17172886630472653,0.17218516252944854,0.044181305344612315,0.10361292778057499,0.11553533963965651,3,0.0,1.3543958590940623,1.000066965221292,0.4068914535324696,3.328688332697287,3.369977066398463,0.8344094717514419,0.8381174625003294,1.0,0.876,2.115199999999999,1.0,0.001736477820273087,0.0037838775968240027,0.00693535149498711,0.06835912279864605,0.10074748499653251,0.1782563206004384,0.9088358012080359,0.8512708569693745,0.008944385040593042,0.0030843320956877593,0.0014694626242662328,0.02446842808343552,0.2578683316071121,0.8198685787325115,2.658172185410188,0.9166293434502587,0.1432443199173744,0.04939557626835232,0.015915494309189534,0.9088358012080359,0.0030843320956877593
bilateral,high_effective_mass,multisine,no_direct_velocity,savitzky_golay,mild,10,-2.1383860338640717,4.319656604399314,-0.007127953446213572,0.014398855347997713,0.023676815295729493,0.026933660202415315,0.06545487009388842,0.0665164042430535,0.36282865996593794,0.5228345995937522,0.07256573199318758,0.10456691991875046,0.1806731184587072,0.20077744759939903,-0.037429436011382454,0.08230739941650597,-0.048493146783445074,0.07276742832268462,-0.009698629356689014,0.014553485664536925,0.02168172397231367,0.02251217094952196,0.060552954101291245,0.06148806184698942,0.04208201397454166,0.10485226937376232,0.116828146547364,3,0.0,1.3541516497774442,1.0000752813473455,0.4077197300384952,3.3212819194347323,3.3626372736685757,0.8337305673143891,0.8374627277358386,0.9,0.836,1.5256,1.0,0.0017067613312648279,0.003741667803941496,0.006814432383091511,0.07148501328025925,0.10402922759606532,0.18276460817079154,0.9088358012080359,0.8512708569693745,0.008944385040593042,0.0030843320956877593,0.0014694626242662328,0.02446842808343552,0.2578683316071121,0.820374959703825,2.659813970262155,0.9171954874266364,0.1364380120849406,0.04704852685070844,0.06,0.9088358012080359,0.0030843320956877593
bilateral,high_effective_mass,multisine,no_direct_acceleration,finite_difference,mild,10,-296.7999354133613,296.8296644937753,-0.9893331180445376,0.9894322149792508,1.0121708456687601,1.015597870566763,-0.985910399881756,0.9860112440608899,0.8418063427866956,0.8589723864907421,0.16836126855733913,0.17179447729814845,0.2184979530316632,0.2333135884726188,0.06251642124296822,0.06607020876815198,-4.485332388934628,4.485794655382289,-0.8970664777869258,0.8971589310764579,0.917459401380191,0.9224058603659895,-0.8908218067414502,0.8909156779067647,0.7758487562846965,0.7948867171776172,0.8005056193151228,3,0.0,1.1916950845449388,1.0001605574104766,0.7612300077243269,1.5654458075830409,1.6033772373266626,0.4201794669600112,0.439748477572938,0.0,-1.0,-1.0,1.0,0.0018577918066408645,0.008654642744131162,0.01479657258799094,-0.026960523263499785,0.12789695786237743,0.19915100758045026,0.9088358012080359,0.8512708569693745,0.008944385040593042,0.0030843320956877593,0.0014694626242662328,0.02446842808343552,0.2578683316071121,0.9681074073711946,3.1387910812999578,1.082363296053952,2.515451424214078,0.8674143082655745,0.0,0.9088358012080359,0.0030843320956877593
bilateral,high_effective_mass,multisine,no_direct_acceleration,low_pass,mild,10,-77.990343329646,78.32930480023354,-0.25996781109882,0.2610976826674451,0.2992311246890004,0.30392528710982075,-0.08786075313523131,0.09110543796813042,0.3455375580578345,0.38358446078156555,0.06910751161156689,0.07671689215631312,0.11929301624018113,0.1313519254388158,-0.5160978558209222,0.5166027313758568,-1.1887340453016577,1.194100041581238,-0.23774680906033155,0.2388200083162476,0.27347629208910296,0.28023736002738175,-0.05285530060013462,0.05734461545743554,0.20363753191301054,0.2394234615919726,0.24619448280245965,3,0.0,1.3426110315662112,1.000082487750793,0.4440999859729044,3.0232187721973007,3.0605816311344785,0.8027271669052249,0.8070489042348251,0.0,-1.0,-1.0,1.0,0.0017937929975442002,0.0022627513978617435,0.0042904919523049385,-0.003070075441547869,0.032516059400133704,0.05980594705152892,0.9088358012080359,0.8512708569693745,0.008944385040593042,0.0030843320956877593,0.0014694626242662328,0.02446842808343552,0.2578683316071121,0.8416974316409654,2.728945540001197,0.9410344342523499,0.6602321851065214,0.22767080239594506,0.015915494309189534,0.9088358012080359,0.0030843320956877593
bilateral,high_effective_mass,multisine,no_direct_acceleration,savitzky_golay,mild,10,33.18562547599734,33.19473606205886,0.1106187515866578,0.11064912020686286,0.11298636578153286,0.11321174330831033,0.18320157512675983,0.1832270919360299,0.16007775491065718,0.22307415336864644,0.03201555098213143,0.04461483067372929,0.07920131957212892,0.08967400489001029,-0.0779796170224386,0.08028725562396967,0.6242029601136754,0.6243131791475902,0.12484059202273505,0.12486263582951805,0.12749418930475376,0.127517631250951,0.19509217548071534,0.19510733663977758,0.09889448193125712,0.10591479137987414,0.10906284893225551,3,0.0,1.3641221083818846,1.0000754384557955,0.37283985433691047,3.6587348688180183,3.666430402010028,0.8609551170513652,0.8614983438627714,1.0,1.486,1.5062,1.0,-0.004917972982852408,0.004981933887024981,0.006151711428428171,-0.11181272438278353,0.11462751476166234,0.15065471018335141,0.9088358012080359,0.8512708569693745,0.008944385040593042,0.0030843320956877593,0.0014694626242662328,0.02446842808343552,0.2578683316071121,0.7982462096963963,2.5880682913893533,0.8924551057156523,0.32063499929051953,0.11056599361771226,0.06,0.9088358012080359,0.0030843320956877593
bilateral,high_effective_mass,multisine,imu_like,finite_difference,mild,10,-25.47514246370565,25.973430584530053,-0.0849171415456855,0.08657810194843352,0.1104429911817213,0.1155582215436228,-0.08113207135787479,0.0829073680085814,0.44104767535809797,0.5046672385076237,0.0882095350716196,0.10093344770152472,0.16699322387514803,0.17275023113946303,-0.018920142497331226,0.063963773606319,-0.39951185714498455,0.4025884848599103,-0.07990237142899691,0.08051769697198206,0.09192805051674505,0.09419012370708799,-0.0736081997183964,0.07426334710416638,0.0848226698734206,0.11406846785890055,0.11633261243861609,3,0.0,1.3449563404741727,1.0000831745816372,0.4369982374243839,3.0777244565693236,3.1074522929656636,0.8089981296673456,0.8122843535219219,1.0,1.6500000000000001,2.656,1.0,0.0016549823658208369,0.006393823350058887,0.011575189380648119,0.07497918039510645,0.09261538192998854,0.15470326080682978,0.9088358012080359,0.8512708569693745,0.008944385040593042,0.0030843320956877593,0.0014694626242662328,0.02446842808343552,0.2578683316071121,0.8376671690064913,2.7158786506084853,0.9365285206359489,0.2750114684213551,0.09483342844529041,0.0,0.9088358012080359,0.0030843320956877593
bilateral,high_effective_mass,multisine,imu_like,low_pass,mild,10,-3.770294519441779,7.3131391192187,-0.012567648398139267,0.02437713039739567,0.04331469910456076,0.04469485830891813,0.15985533650740416,0.16127909536015553,0.3516151738772357,0.44020352761288734,0.07032303477544714,0.08804070552257748,0.16007681437522575,0.16633616533787415,-0.5163621887876715,0.5202174646875815,-0.07171733318387945,0.09887594844721773,-0.01434346663677589,0.019775189689443546,0.03573919306415249,0.041464225389897004,0.17056974947303588,0.17110372674823948,0.03438058984605305,0.09246109090251076,0.09609093629805775,3,0.0,1.3544260474182988,1.0001062695188416,0.4066697278347424,3.3305735490709942,3.3744525817659246,0.8345808521320128,0.8385051743944608,1.0,1.1460000000000001,2.228199999999999,1.0,0.0014531620341980173,0.0063106938759936995,0.011526567281285746,0.06893976236837943,0.087495249440163,0.14782597185047727,0.9088358012080359,0.8512708569693745,0.008944385040593042,0.0030843320956877593,0.0014694626242662328,0.02446842808343552,0.2578683316071121,0.8197393562949518,2.6577532213247688,0.916484870200311,0.11146850851152168,0.03843818182023781,0.015915494309189534,0.9088358012080359,0.0030843320956877593
bilateral,high_effective_mass,multisine,imu_like,savitzky_golay,mild,10,-1.5314798341525944,6.419921342942394,-0.005104932780508648,0.02139973780980798,0.036452081973671974,0.037504316588389014,0.06778826308459648,0.0709016632310998,0.3631537523665518,0.4513273275187825,0.07263075047331036,0.0902654655037565,0.16227701107363182,0.16849864225670802,-0.03864009383024166,0.07589634627953364,-0.038974066309415446,0.07683135016440057,-0.007794813261883089,0.015366270032880115,0.027864415520646117,0.03554144790050966,0.06245976869420975,0.06379751964879468,0.03304073300654057,0.09380684307412934,0.09733067469715835,3,0.0,1.3544228050210991,1.0000672461292242,0.4067191324468121,3.3301347304842976,3.3677666398862294,0.8345504219959791,0.8379238167615037,1.0,1.1800000000000002,2.223399999999999,1.0,0.0017298359007426115,0.006355773231001471,0.011399390637226633,0.0690879620178829,0.08817357191851079,0.14906326165398548,0.9088358012080359,0.8512708569693745,0.008944385040593042,0.0030843320956877593,0.0014694626242662328,0.02446842808343552,0.2578683316071121,0.819768502079322,2.657847717583492,0.916517455765711,0.10712443401518017,0.03694019528071419,0.06,0.9088358012080359,0.0030843320956877593
bilateral,high_effective_mass,multisine,sensorless_force_exploratory,savitzky_golay,mild,10,-42.214008425996994,42.76676072528578,-0.14071336141998997,0.1425558690842859,0.17621298817565798,0.17779399661209386,0.08531630265279706,0.08831262766562555,2.89934617612174,2.9096007720236,0.579869235224348,0.58192015440472,0.6628734454986981,0.6673496753841199,-0.04583521553035666,0.07365615817342556,-0.7905497509198305,0.79415143141804,-0.15810995018396606,0.15883028628360804,0.18130848134788552,0.19157191675127178,0.0792674496913355,0.08060551242662337,0.34570333602751024,0.3988386253779926,0.4021400990084825,3,0.0,1.3544228050210991,1.0000672461292242,0.4067191324468121,3.3301347304842976,3.3677666398862294,0.8345504219959791,0.8379238167615037,0.0,-1.0,-1.0,1.0,0.016529483198672996,0.01767391682772153,0.023980320256054958,0.5383893990677991,0.5414297468658554,0.6260451298918996,0.9088358012080359,0.8512708569693745,0.008944385040593042,0.0030843320956877593,0.0014694626242662328,0.02446842808343552,0.2578683316071121,0.819768502079322,2.657847717583492,0.916517455765711,1.1208369439556853,0.38650319106185194,0.06,0.9088358012080359,0.0030843320956877593
bilateral,high_effective_mass,multisine,optimistic_reference,direct,nominal,10,-228.61037672604593,228.87175733277167,-0.7620345890868199,0.7629058577759056,0.8036787978644545,0.8038233375516035,-0.7080196650250704,0.7089758937372722,0.8377163341446554,1.1390844285041692,0.1675432668289311,0.22781688570083386,0.3345583696841301,0.38332446547031596,-0.24627497287737485,0.28125814970500845,-3.441608750019713,3.4430539565850715,-0.6883217500039426,0.6886107913170143,0.7179878994135753,0.7235416791612431,-0.6255151171804023,0.6258946543190905,0.6155003849756073,0.6364651748559218,0.6378375176726101,3,0.0,1.2780714059833853,0.9990273802377367,0.608407181257571,2.100837315997297,2.2818064951561694,0.6291095060129925,0.6769413819003203,0.0,-1.0,-1.0,1.0,-0.003676117412634483,0.03977077718125252,0.06273869613120227,0.07384580931775883,0.4771893426589033,0.7707994427964376,0.9088358012080359,0.8512708569693745,0.008944385040593042,0.0030843320956877593,0.0014694626242662328,0.02446842808343552,0.2578683316071121,0.9189941567240196,2.9795564427348022,1.027453707050035,1.9955710535715194,0.6881416466109532,0.0,0.9088358012080359,0.0030843320956877593
bilateral,high_effective_mass,multisine,no_direct_velocity,finite_difference,nominal,10,-228.2912083272011,228.5811332650262,-0.7609706944240037,0.7619371108834208,0.8093018817455274,0.8100256948242479,-0.7069557703622543,0.7080774189334547,0.5325395036178546,1.1353874566552533,0.10650790072357093,0.22707749133105065,0.35214137144429514,0.3627789057262042,-0.3073103389827349,0.36183283629957486,-3.4414635375656273,3.4429912943804712,-0.6882927075131255,0.6885982588760943,0.7190490368602004,0.724439144202865,-0.6254860746895854,0.6258932713635008,0.613348261709606,0.6333715440289563,0.6337851347007298,3,0.0,1.2772522260773553,1.0000993042549429,0.6085222680483674,2.0981727295705244,2.278743625034721,0.6292667881647642,0.676929075204857,0.0,-1.0,-1.0,1.0,-0.003189487881275274,0.040674396669734984,0.064094953801609,-0.005726247778287519,0.5091282331239048,0.8467919271373509,0.9088358012080359,0.8512708569693745,0.008944385040593042,0.0030843320956877593,0.0014694626242662328,0.02446842808343552,0.2578683316071121,0.9192419585936992,2.9803598642276627,1.02773075445861,1.9885934545347288,0.6857355300850723,0.0,0.9088358012080359,0.0030843320956877593
