target_id,k,c,m,time_s,matlab_x,matlab_v,matlab_a,force
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.956,-2.66705762883938e-05,0.00159075111410287,1.2351622409347,0.0981674902963213
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.958,-2.09212454127058e-05,0.00419974453849289,1.3595242377807,0.128366349535062
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.96,-9.766241579247e-06,0.00696599786924913,1.39212460210585,0.158089470014356
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.962,6.92454267480473e-06,0.00970514105399218,1.33307692140434,0.187221410786887
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.964,2.89165410040725e-05,0.0122387428918588,1.18814336070292,0.215648663654639
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.966,5.5633380420045e-05,0.0144051210624239,0.968194264704797,0.243260100995956
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.968,8.62000808777811e-05,0.0160687664026962,0.688371711540942,0.269947416790597
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.97,0.000119503262265324,0.0171278482775072,0.36701839004935,0.295605559077879
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.972,0.000154264099262804,0.0175194037817896,0.0244455431047133,0.320133152101853
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.974,0.000189119123318339,0.0172219692723881,-0.318378860494519,0.343432906424939
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.976,0.000222703652643554,0.0162555781058313,-0.641138383728017,0.365412015324422
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.978,0.000253732644394242,0.0146792129632677,-0.925392486018378,0.385982535827529
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.98,0.000281074096116351,0.0125859546871554,-1.15564452972569,0.40506175278779
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.982,0.000303810744892749,0.010096203061929,-1.32019301330431,0.422572524460094
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.984,0.000321286674520431,0.00734945090542968,-1.41172097649527,0.438443608092366
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.986,0.000333136482396351,0.00449516561100068,-1.42759613815395,0.45260996411942
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.988,0.000339295808524582,0.00168336853057404,-1.36987303817482,0.465013037617698
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.99,0.000339993214736474,-0.000944498685429501,-1.24500707395596,0.475601015759484
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.992,0.000335724548749765,-0.00326386913579561,-1.06330770699944,0.484329060090066
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.994,0.000327211965889566,-0.00517402557459621,-0.838173238849109,0.491159512542325
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.996,0.000315350650948996,-0.00660337102874547,-0.585161563532602,0.496062074198807
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,2.998,0.000301146935962464,-0.00751272871365627,-0.320959562192232,0.499013955912189
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3,0.000285651913695942,-0.00789653499408858,-0.0623179327489392,0.5
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.002,0.000267062304017206,-0.0119963988999248,-3.99380365867148,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.004,0.000235463307872364,-0.0193957829308989,-3.37055794418369,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.006,0.000190445211042022,-0.0253537553722837,-2.5609657630858,0
