target_id,peak_displacement,peak_velocity,oscillation,settling_time,risk_class,severity
matlab_broad_s20180_c11,0.00244981887098974,0.00830530341447433,1.57466370107015e-07,0,SAFE,0.204151572582478
matlab_boundary_1,0.0119952941754153,0.0430798115404464,3.63702868815806e-05,0.316,SAFE,0.999607847951278
matlab_boundary_2,0.0119599973969288,0.0418491976293685,8.5203603295308e-09,0,SAFE,0.996666449744064
matlab_boundary_3,0.0118527878224577,0.0390373994046262,5.49461392465764e-12,0,SAFE,0.987732318538142
matlab_boundary_4,0.0117719278515208,0.0290718918974098,2.36077636025646e-07,0.492,SAFE,0.98099398762673
matlab_boundary_5,0.0117472059918926,0.0389889414146623,7.15072144704682e-08,0.2,SAFE,0.978933832657716
matlab_boundary_6,0.0117199208882018,0.0431582961779145,3.30757385921761e-08,0,SAFE,0.976660074016817
matlab_boundary_7,0.011584076625609,0.0350416608182274,3.73116515156396e-06,0.652,SAFE,0.965339718800754
matlab_boundary_8,0.0114274522761105,0.0356703768819043,8.59791391192319e-05,1.39,SAFE,0.952287689675873
matlab_boundary_9,0.0114266899735375,0.033352711067332,1.38777878078145e-17,0.038,SAFE,0.952224164461458
matlab_boundary_10,0.0114042098197479,0.0357246117564907,2.25514051876985e-17,0.004,SAFE,0.950350818312327
matlab_boundary_11,0.0113704861216314,0.027514560668219,4.70081315699566e-07,0.548,SAFE,0.947540510135949
matlab_boundary_12,0.0113497321626871,0.0305782870647798,1.83252484690354e-08,0.36,SAFE,0.945811013557256
matlab_boundary_13,0.0112987615493731,0.0407098843422721,3.51152633284249e-07,0.314,SAFE,0.94156346244776
matlab_boundary_14,0.0112881866974261,0.0202087765718064,1.89038733212988e-06,0.684,SAFE,0.940682224785512
matlab_boundary_15,0.00912852210435113,0.0310714945057029,0.000179469706730417,1.874,SAFE,0.937
matlab_boundary_16,0.0112398398293986,0.0453279566636406,3.1043778934327e-06,0,SAFE,0.936653319116551
matlab_boundary_17,0.011230811333383,0.044933354119011,6.83585865678887e-06,0,SAFE,0.935900944448581
matlab_boundary_18,0.011224196931922,0.0430415331811605,0.000122120194920015,1.364,SAFE,0.935349744326836
matlab_boundary_19,0.011111715513408,0.0318761317342049,2.25514051876985e-17,0.0660000000000001,SAFE,0.925976292783999
matlab_boundary_20,0.0110677545778035,0.0301714709485841,1.22733530231333e-13,0.116,SAFE,0.922312881483625
matlab_boundary_21,0.00473057721955035,0.020437926431487,0.000107089021512841,1.84,SAFE,0.92
matlab_boundary_22,0.011027130536873,0.0232821527787047,6.61729054186284e-08,0.434,SAFE,0.918927544739417
matlab_boundary_23,0.0110106474455667,0.0343892757141859,4.80402192171936e-07,0.298,SAFE,0.917553953797226
matlab_boundary_24,0.0109776733525403,0.0344730613958595,1.95856289600781e-07,0,SAFE,0.914806112711693
matlab_boundary_25,0.010891380093239,0.0376518223402533,8.06862784033909e-10,0,SAFE,0.907615007769914
matlab_boundary_26,0.0108864303342566,0.020121826448376,1.14242500490563e-06,0.628,SAFE,0.907202527854713
matlab_boundary_27,0.0108840496891056,0.0393094975743816,7.90908989852442e-05,0.432,SAFE,0.9070041407588
matlab_boundary_28,0.0108619161348286,0.0199072736183792,1.29902682341809e-06,0.644,SAFE,0.905159677902379
matlab_boundary_29,0.0108553350809921,0.0288795272123878,3.01655183915041e-15,0.146,SAFE,0.904611256749343
matlab_boundary_30,0.0107197316263423,0.0353289578535282,8.38539218521477e-09,0,SAFE,0.893310968861862
matlab_boundary_31,0.0107147843338679,0.0208096537454236,3.83549166509426e-07,0.556,SAFE,0.892898694488994
matlab_boundary_32,0.0106860170254776,0.0290818621450857,3.26461500839105e-13,0.124,SAFE,0.890501418789796
matlab_boundary_33,0.0105461534018533,0.032909105700407,7.87405327521451e-05,1.388,SAFE,0.878846116821108
matlab_boundary_34,0.0104717465581062,0.0415455917412231,2.90798369097657e-05,0,SAFE,0.87264554650885
matlab_boundary_35,0.0104587327727521,0.0189071290920568,1.50609729365318e-06,0.672,SAFE,0.871561064396011
matlab_boundary_36,0.0103131749601376,0.0308370481307493,8.23912754264172e-05,1.528,SAFE,0.85943124667813
matlab_boundary_37,0.0103107163912783,0.0287719210083174,1.97015842611174e-14,0.078,SAFE,0.859226365939861
matlab_boundary_38,0.0102933721449415,0.0342617511394445,3.67148429336013e-08,0,SAFE,0.857781012078455
matlab_boundary_39,0.0102654333901635,0.0200477033597663,3.42974490566005e-08,0.432,SAFE,0.855452782513624
matlab_boundary_40,0.0102241208254801,0.0339545991314738,8.30046232246514e-08,0,SAFE,0.852010068790007
matlab_boundary_41,0.0101547367418782,0.037514896934076,4.29613063919141e-07,0,SAFE,0.846228061823182
matlab_boundary_42,0.0101328722820011,0.0266496435135467,7.34466257287301e-12,0.148,SAFE,0.844406023500094
matlab_boundary_43,0.0100876826164931,0.0319485165817665,5.20417042793042e-18,0,SAFE,0.840640218041088
matlab_boundary_44,0.0100497682605404,0.021321545505267,4.18789471939922e-08,0.424,SAFE,0.837480688378364
matlab_boundary_45,0.00569521575076841,0.0214853403683635,7.3878348877642e-05,1.672,SAFE,0.836
matlab_boundary_46,0.00999856071028812,0.0403857301692577,2.00391954289645e-06,0,SAFE,0.83321339252401
matlab_boundary_47,0.00993397189063016,0.0392565752868767,4.90990798945222e-05,0.98,SAFE,0.827830990885847
matlab_boundary_48,0.00988379563812138,0.0236794534853555,1.10427152956506e-09,0.268,SAFE,0.823649636510115
matlab_boundary_49,0.00981565651469182,0.0312431360413956,1.59937701674469e-15,0,SAFE,0.817971376224319
matlab_boundary_50,0.00980288064524716,0.0304135160413491,8.79639814604921e-07,0.552,SAFE,0.816906720437263
matlab_boundary_51,0.00980143687546601,0.0207007540258769,7.97066988790814e-08,0.434,SAFE,0.816786406288834
matlab_boundary_52,0.00975523136694129,0.0308890098820542,0,0,SAFE,0.812935947245107
matlab_boundary_53,0.00975268481055089,0.0405539733227773,8.41568888631604e-05,1.084,SAFE,0.812723734212574
matlab_boundary_54,0.00971704355986811,0.0281150862314384,1.21430643318376e-17,0.0640000000000001,SAFE,0.809753629989009
matlab_boundary_55,0.00969396266188761,0.0320159662109348,5.3466159536733e-06,0.544,SAFE,0.807830221823967
matlab_boundary_56,0.00433713491533639,0.0198407459387188,0.00011213103960895,1.612,SAFE,0.806
matlab_boundary_57,0.0096701153969581,0.0313247346761967,8.63711884950469e-14,0,SAFE,0.805842949746508
matlab_boundary_58,0.00966920698139515,0.0217175437517564,1.50946948365719e-08,0.34,SAFE,0.805767248449596
matlab_boundary_59,0.00960772031163284,0.0210643646637145,3.04876914481758e-08,0.376,SAFE,0.800643359302737
matlab_boundary_60,0.0095669275105019,0.0250403438846597,1.06620452957588e-11,0.15,SAFE,0.797243959208492
matlab_boundary_61,0.00950444531858618,0.0199400717218391,9.22941323334827e-08,0.436,SAFE,0.792037109882181
matlab_boundary_62,0.00946825187834054,0.0302193651308962,2.01929696082699e-15,0,SAFE,0.789020989861711
matlab_boundary_63,0.0094348774888235,0.028134262440688,3.62711520937244e-16,0.04,SAFE,0.786239790735291
matlab_boundary_64,0.00939193691774314,0.0419121814083635,0.000215973072167789,1.518,SAFE,0.782661409811928
matlab_boundary_65,0.00938225075400894,0.0257809099831858,9.50529206325399e-14,0.1,SAFE,0.781854229500745
matlab_boundary_66,0.00936352081508808,0.0278984850314495,3.46944695195361e-18,0.014,SAFE,0.78029340125734
matlab_boundary_67,0.00930024291733514,0.0386249647007357,2.29997676917057e-05,0,SAFE,0.775020243111262
matlab_boundary_68,0.00928974668528245,0.0332971778135134,1.41927695781587e-05,0.694,SAFE,0.77414555710687
matlab_boundary_69,0.00925392782306011,0.030909152305859,2.34081903993239e-10,0.102,SAFE,0.771160651921675
matlab_boundary_70,0.00925208959602154,0.0199594098837305,1.07635159853058e-07,0.284,SAFE,0.771007466335128
matlab_boundary_71,0.00924097869123421,0.032120755803434,5.72430987260143e-07,0,SAFE,0.770081557602851
matlab_boundary_72,0.00916447743201137,0.0338727526319836,1.68891240132543e-05,0.088,SAFE,0.763706452667614
matlab_boundary_73,0.00913533752789872,0.0288136326041984,2.94973563418623e-14,0,SAFE,0.761278127324893
matlab_boundary_74,0.00913127386404067,0.0394963937161453,0.000107916112181788,0.986,SAFE,0.760939488670056
matlab_boundary_75,0.00912937093641671,0.0292574751941109,1.23971506874021e-13,0,SAFE,0.760780911368059
matlab_boundary_76,0.00909837161159086,0.023977680966827,2.20151376893077e-13,0.156,SAFE,0.758197634299238
matlab_boundary_77,0.00903767444230338,0.0303193844111931,1.18624544807473e-06,0,SAFE,0.753139536858615
matlab_boundary_78,0.00903727678088,0.0270017825081824,2.08166817117217e-17,0.02,SAFE,0.753106398406667
matlab_boundary_79,0.00893475982325868,0.0281923983297535,1.09173649573464e-14,0,SAFE,0.74456331860489
matlab_boundary_80,0.00677616071862382,0.0265988274085062,7.00540394627508e-05,1.488,SAFE,0.744
matlab_boundary_81,0.00890495144517972,0.0280608710550003,1.04083408558608e-17,0,SAFE,0.74207928709831
matlab_boundary_82,0.00888597402604312,0.0188181795691877,6.82605252345548e-08,0.428,SAFE,0.740497835503593
matlab_boundary_83,0.00888075045184025,0.0200429679818291,8.66847983234206e-10,0.288,SAFE,0.740062537653354
matlab_boundary_84,0.00870538775651653,0.0319897156851972,6.2872325067229e-07,0.316,SAFE,0.725448979709711
matlab_boundary_85,0.00869825621530218,0.0323687546179708,1.2164999678509e-06,0,SAFE,0.724854684608515
