target_id,k,c,m,time_s,matlab_x,matlab_v,matlab_a,force,python_x,python_v,python_a
matlab_boundary_1,174.999798947141,0.514974461729671,0.260785523444631,1.432,0.000902369206316671,0.0740032935587671,1.16502009363814,0.499844610891093,0.0009023692063166767,0.07400329355876713,1.1650200936381365
matlab_boundary_1,174.999798947141,0.514974461729671,0.260785523444631,1.434,0.00105263433318707,0.076225882304211,1.05714259572764,0.499152664564525,0.0010526343331870793,0.07622588230421103,1.057142595727638
matlab_boundary_1,174.999798947141,0.514974461729671,0.260785523444631,1.436,0.00120712581052671,0.0782281346339542,0.944735932764139,0.497905720414164,0.0012071258105267198,0.07822813463395425,0.9447359327641347
matlab_boundary_1,174.999798947141,0.514974461729671,0.260785523444631,1.438,0.00136539411680039,0.0800013074945393,0.828117128015846,0.496103284891425,0.0013653941168003977,0.0800013074945393,0.8281171280158427
matlab_boundary_1,174.999798947141,0.514974461729671,0.260785523444631,1.44,0.00152697288684866,0.0815373044555044,0.707615628428859,0.493745489726534,0.0015269728868486634,0.0815373044555044,0.7076156284288561
matlab_boundary_1,174.999798947141,0.514974461729671,0.260785523444631,1.442,0.00169138022937711,0.0828286996483872,0.583572391522477,0.490833096692384,0.0016913802293771134,0.08282869964838722,0.5835723915224728
matlab_boundary_1,174.999798947141,0.514974461729671,0.260785523444631,1.444,0.00185812009047711,0.0838687598491942,0.456338942394153,0.48736750167284,0.001858120090477118,0.08386875984919416,0.4563389423941477
matlab_boundary_1,174.999798947141,0.514974461729671,0.260785523444631,1.446,0.00202668365940685,0.0846514646471356,0.326276403426572,0.483350738022171,0.0020266836594068516,0.08465146464713555,0.32627640342656794
matlab_boundary_1,174.999798947141,0.514974461729671,0.260785523444631,1.448,0.00219655081275232,0.0851715246476795,0.193754499354904,0.47878547920299,0.0021965508127523236,0.08517152464767952,0.1937544993549003
matlab_boundary_1,174.999798947141,0.514974461729671,0.260785523444631,1.45,0.00236719159298956,0.0854243976633524,0.0591505404105802,0.473675040690808,0.00236719159298957,0.08542439766335236,0.05915054041057512
