actual_risk_class,actual_severity_ratio,boundary_case,case_index,contact_fraction,contact_loss_count,damping_n_s_per_m,effective_mass_kg,future_contact_loss_proxy,future_hold_settling_time_s,future_late_hold_oscillation_rms_m,future_peak_displacement_m,future_peak_velocity_m_per_s,future_realized_sustained_force_rms_error_n,minimum_actuator_reserve,motor_saturation_fraction,peak_angular_rate_rad_s,peak_attitude_deg,peak_contact_force_n,peak_contact_torque_nm,peak_penetration_m,peak_target_acceleration_m_per_s2,peak_target_displacement_m,peak_target_velocity_m_per_s,perturbation,perturbation_value,probe_cross_correlation_lag_s,probe_delivery_bandwidth_hz,probe_peak_tracking_error_n,probe_relative_rms_tracking_error,probe_rms_tracking_error_n,probe_weighted_phase_lag_rad,seed,stiffness_n_per_m,stratum,trial_id
UNSAFE,2.910254755678637,False,3,0.3972009330223259,6.0,4.242640687119285,0.1,True,3.0,0.0037534725147777754,0.034923057068143644,0.12187166038039846,0.5362579974567753,0.7446585664118566,0.0,0.2368402178435786,2.3246972553031364,0.9248801750307996,0.07384399793353959,0.00016876269581386452,7.997161244357445,0.008839971530764268,0.06463442933615722,nominal,1.0,0.25,0.0,0.8075794567135461,1.2152889911083091,0.3185978842001458,3.5099786191057647,13001,75.0,structured_grid,grid_003
UNSAFE,2.990412533744146,False,4,0.4335221592802399,13.0,4.242640687119285,0.7745966692414834,True,3.0,0.0018962477274362696,0.03588495040492975,0.11178691943541845,0.4314952446226093,0.7391275869042719,0.0,0.2227512949470022,1.9455875128385776,1.9919906690541809,0.15939310945709873,0.00039023605224317135,2.3282891515228923,0.008308738882877476,0.047560203246939096,nominal,1.0,0.203,0.0,1.53344932343756,1.2332897852674773,0.32331693865961486,0.444933877123581,13001,75.0,structured_grid,grid_004
UNSAFE,3.199303651559694,False,5,0.22759080306564478,9.0,4.242640687119285,6.0,True,3.0,0.003202160570259328,0.038391643818716334,0.06814619233798425,0.38840715310237417,0.7145593380557379,0.0,0.16795661732740913,1.6721848523003202,3.1186479844131623,0.26455584518591757,0.0006181759050989948,0.495239378053632,0.005543366983226218,0.01635270508597247,nominal,1.0,0.222,0.0,3.1186479844131623,1.6337263661133838,0.4282946421912652,2.1741915160399206,13001,75.0,structured_grid,grid_005
UNSAFE,1.9575663523018263,False,6,0.348217260913029,6.0,60.0,0.1,True,1.846,0.0003631887679701343,0.023490796227621916,0.028524386905687937,0.36319125149749715,0.7355242887226148,0.0,0.1620768448476763,1.6723875887471873,1.8990822973538142,0.15672211762658989,0.00037667614709083826,4.3655801978080895,0.0022155639657694183,0.02974807389116652,nominal,1.0,0.178,0.0,1.8990822973538142,1.3094894489527187,0.3432932996770389,-1.0052271728528686,13001,75.0,structured_grid,grid_006
UNSAFE,1.9593121696466458,False,7,0.36587804065311563,7.0,60.0,0.7745966692414834,True,1.8410000000000002,0.0003576403116429382,0.02351174603575975,0.028531316062503913,0.3637003546546578,0.7269903495269171,0.0,0.16238606318922993,1.673536542284247,2.505757363411555,0.2071404675663311,0.0004945961185046993,1.8128922758692383,0.002217991905541142,0.029353898273424182,nominal,1.0,0.25,2.332555814728424,2.505757363411555,1.3421479876924212,0.3518550009840249,-0.7150952039360885,13001,75.0,structured_grid,grid_007
UNSAFE,1.9687340904648896,False,8,0.17427524158613794,4.0,60.0,6.0,True,1.791,0.00030477062635289565,0.023624809085578676,0.02646093190867923,0.37070115785452407,0.716612736812392,0.0,0.1608162773701709,1.689173987507769,3.1819141747032753,0.26468184785899057,0.0006306026712166457,0.4671898406327404,0.0021792547638714594,0.01111227097116543,nominal,1.0,0.247,0.0,3.1819141747032753,1.9255883574496335,0.5048086348288264,3.5319986512662465,13001,75.0,structured_grid,grid_008
UNSAFE,1.496,True,9,0.22525824725091637,6.0,0.3,0.1,False,2.992,0.00042086365915378646,0.006976049393443704,0.054154046592414545,0.46995344345576484,0.7421923898490279,0.0,0.19030830437031127,1.7572458689916555,1.1414587609653142,0.08923353328322724,0.00022774825436192242,11.5065288935334,0.0028005187193455984,0.08590609457796469,nominal,1.0,0.061,0.0,0.9818301107706697,1.366155961596095,0.35814888642658715,-1.7929408387514039,13001,433.0127018922193,structured_grid,grid_009
UNSAFE,1.9182561141011474,False,10,0.21059646784405198,10.0,0.3,0.7745966692414834,False,3.0,0.002877384171151721,0.008224322397291263,0.05273057146640593,0.6836211623404803,0.7360367929808123,0.0,0.19497671346137843,1.8708111591717933,2.0536986355437055,0.1620758494981863,0.0004032691146623774,1.9837481270854813,0.002781920753986571,0.050443457183876626,nominal,1.0,0.128,0.0,1.674838500149654,1.5621749038574382,0.40953684494883197,-1.396935795798084,13001,433.0127018922193,structured_grid,grid_010
UNSAFE,2.5121577747709094,False,11,0.19693435521492836,6.0,0.3,6.0,False,3.0,0.0037682366621563644,0.01015295034976992,0.04720388398135394,0.41261595339121143,0.7143488269636219,0.0,0.17117555526997688,1.677258336466044,3.610003600093335,0.2892797550128802,0.0007149329918405943,0.5537357231272507,0.003379028770032579,0.028573413769035844,nominal,1.0,0.25,0.0,3.2876416780165907,1.781869108846163,0.4671314659752334,0.9612017490706264,13001,433.0127018922193,structured_grid,grid_011
CAUTION,1.1745,True,12,0.2262579140286571,4.0,4.242640687119285,0.1,False,2.349,0.00016669865656265438,0.0065029891544122614,0.04901165889889411,0.4194074098403583,0.7432710524008221,0.0,0.1853111954608745,1.6915893926391794,1.1423904699938487,0.09117246816071242,0.00020976401276401714,9.679517856137107,0.0025922107799319838,0.07469195231583742,nominal,1.0,0.234,4.331889370209931,0.9019270572081479,1.2555052588283397,0.3291409055718308,0.8290854852347153,13001,433.0127018922193,structured_grid,grid_012
UNSAFE,1.5,True,13,0.20126624458513828,12.0,4.242640687119285,0.7745966692414834,False,3.0,0.0008489123195086562,0.007118439799154649,0.04656623298489451,0.4704478252125652,0.7358258233784741,0.0,0.18916709480182337,1.7831530498489834,2.507836079553867,0.19822017391068883,0.0004913175737391166,2.9952113798831124,0.002404157575619672,0.058117512591042884,nominal,1.0,0.20600000000000002,3.3322225924691775,2.0696827395319346,1.4680871470905634,0.38487097497519973,1.0301893098915595,13001,433.0127018922193,structured_grid,grid_013
UNSAFE,1.5,True,14,0.19360213262245918,6.0,4.242640687119285,6.0,False,3.0,0.0019715810315519464,0.008349864105063763,0.031106721338424227,0.39012393889930075,0.725326546701326,0.0,0.16923300797925575,1.6786683781190266,2.860557685318737,0.23207174407464717,0.0005668308908870015,0.3779637961714036,0.0029548450443206645,0.02355300108892143,nominal,1.0,0.218,0.0,2.6849200796175197,1.6488374589351864,0.43225613796404244,4.366867961045776,13001,433.0127018922193,structured_grid,grid_014
SAFE,0.36915267217650527,False,15,0.2879040319893369,6.0,60.0,0.1,False,0.22399999999999998,2.6188380809335336e-07,0.004429832066118063,0.02495591396218773,0.3556177927178303,0.7342934309966155,0.0,0.1635028974600535,1.6894070384963786,1.987097216505835,0.1639645000517558,0.0003945310776947764,4.234032647556973,0.0011558721500384678,0.030410253974904784,nominal,1.0,0.23,3.9986671109630127,1.987097216505835,1.3861880665278643,0.363400465511095,-0.502236742841208,13001,433.0127018922193,structured_grid,grid_015
SAFE,0.3721688282526313,False,16,0.3092302565811396,6.0,60.0,0.7745966692414834,False,0.21699999999999997,3.3382186158619326e-07,0.004466025939031576,0.02552794879362217,0.35698208403008275,0.7258468528153447,0.0,0.1636501333776056,1.6878882682427137,2.596872683692211,0.21446590227701995,0.0005125737012548922,1.8572168669942353,0.001181805515139453,0.030685111774969416,nominal,1.0,0.185,0.0,2.596872683692211,1.4426607802711973,0.3782052463042281,-0.6992435242420437,13001,433.0127018922193,structured_grid,grid_016
SAFE,0.4254071078692645,False,17,0.17627457514161946,5.0,60.0,6.0,False,0.5660000000000001,4.51087144110846e-08,0.005104885294431174,0.01734735932827651,0.3662574029671341,0.7155424448504496,0.0,0.15910368182895954,1.6932971848210745,3.281203968056197,0.27246479082503217,0.000650301746254105,0.4765749212239059,0.001242224612127135,0.013464784418799784,nominal,1.0,0.249,3.9986671109630127,3.281203968056197,1.8816487994415814,0.49328952265346787,2.2566420029583845,13001,433.0127018922193,structured_grid,grid_017
SAFE,0.34176745835613964,False,18,0.16994335221592802,4.0,0.3,0.1,False,0.15500000000000003,4.291965770696967e-09,0.0010733187453480322,0.041012095002736754,0.35503260085446803,0.7306499933994525,0.0,0.17151467449392863,1.744875372972699,2.2835837296927455,0.18828552313026425,0.000454502302574994,8.203945191385188,0.0009454445417211629,0.05060889713690893,nominal,1.0,0.113,0.0,2.2835837296927455,1.776491318073932,0.4657216344255035,2.7619388097217024,13001,2500.0,structured_grid,grid_018
SAFE,0.2956896705140802,False,19,0.17227590803065645,4.0,0.3,0.7745966692414834,False,0.20200000000000007,3.872617053849609e-09,0.0011038404241693295,0.03548276046168962,0.35425355441122724,0.718516599344251,0.0,0.15879500667049964,1.7457476886800547,2.797388408575109,0.22286659339618348,0.0005508004778962219,2.7610805810573207,0.0011025930060380646,0.04244391795913782,nominal,1.0,0.12,2.665778073975342,2.797388408575109,1.7819280068676555,0.46714690657016056,-1.2816207480935242,13001,2500.0,structured_grid,grid_019
SAFE,0.3275,False,20,0.1526157947350883,4.0,0.3,6.0,False,0.655,2.5800678219056003e-05,0.0013195956216305257,0.013923442848819688,0.3684216902653993,0.7113754597551626,0.0,0.15408613187164708,1.7080361417990755,3.576758038362811,0.29671908140606224,0.0007086331097976424,0.6042921944161744,0.0007664724446138445,0.015675689357444875,nominal,1.0,0.25,3.665444851716095,3.576758038362811,2.0696979243716664,0.5425881288012746,-0.2399328244625913,13001,2500.0,structured_grid,grid_020
SAFE,0.3128107284382757,False,21,0.17060979673442186,4.0,4.242640687119285,0.1,False,0.029000000000000026,4.465119866506104e-09,0.0010386728172276259,0.03753728741259308,0.3526386402000867,0.7319284572552057,0.0,0.1690121331935395,1.7419238013838914,2.1778975001034957,0.17974953343590014,0.00043435207115627764,7.042409740855239,0.0009121205757444418,0.04565129632072165,nominal,1.0,0.25,0.0,2.1778975001034957,1.7231633930883514,0.45174128555910303,2.6244558639521407,13001,2500.0,structured_grid,grid_021
SAFE,0.2837453657341416,False,22,0.1846051316227924,4.0,4.242640687119285,0.7745966692414834,False,0.19300000000000006,4.285464299978268e-09,0.00106943673506351,0.03404944388809699,0.35172829033376596,0.7298758915238676,0.0,0.15713020126361732,1.7426675401007958,2.276548788243798,0.18883081665382878,0.00044845515544934106,2.6665512344035234,0.0010404008254512509,0.04068612181414697,nominal,1.0,0.099,2.665778073975342,2.276548788243798,1.6867999867716392,0.4422083231118342,-1.0026075008169655,13001,2500.0,structured_grid,grid_022
SAFE,0.243,False,23,0.15328223925358214,4.0,4.242640687119285,6.0,False,0.486,1.2537542342497733e-05,0.0012919185730680747,0.013728321297768261,0.36712321195874414,0.7121942154607553,0.0,0.15382985025115137,1.7084445838514277,3.5145566427016783,0.2915870021233024,0.0006963621605724268,0.5960045944759013,0.0007007096949306604,0.01392333352884623,nominal,1.0,0.25,3.665444851716095,3.5145566427016783,2.032340685496659,0.5327946250731758,-0.377630650316699,13001,2500.0,structured_grid,grid_023
SAFE,0.16480455643675357,False,24,0.1939353548817061,4.0,60.0,0.1,False,0.0,8.062505918321654e-09,0.0008464031010932806,0.019776546772410426,0.3451931363957458,0.7311250449341332,0.0,0.15294282969433184,1.7199230225978441,2.145368294717402,0.1783686463503378,0.00042751458815408434,4.656196786510027,0.0006437681283334301,0.02314589028244218,nominal,1.0,0.25,2.9990003332222597,2.145368294717402,1.5484943230732964,0.40595036953076546,-2.1464345699421417,13001,2500.0,structured_grid,grid_024
SAFE,0.17816829946114526,False,25,0.2072642452515828,4.0,60.0,0.7745966692414834,False,0.0,8.388184959432022e-09,0.0008507069287656871,0.02138019593533743,0.3447790623318706,0.7267168585212641,0.0,0.15041133013356175,1.7210317969727909,2.455723639197229,0.20460874289818973,0.000485742058442598,1.6304348224359593,0.0006684556429226431,0.02455408008139562,nominal,1.0,0.25,2.9990003332222597,2.455723639197229,1.5786000271037999,0.4138428244749405,-2.4688022761786637,13001,2500.0,structured_grid,grid_025
SAFE,0.0955554170731635,False,26,0.16494501832722425,4.0,60.0,6.0,False,0.17400000000000004,2.2519014786651753e-08,0.0010185726679813054,0.011466650048779621,0.36128796742394426,0.714425793899906,0.0,0.15262541093263995,1.71196130017069,3.3479431349943694,0.2780409042677999,0.0006635561193460777,0.47128880996913414,0.0005800905141918342,0.012112954379676145,nominal,1.0,0.25,0.0,3.3479431349943694,1.9559457210762667,0.5127670643810595,2.0709930472257243,13001,2500.0,structured_grid,grid_026
SAFE,0.19423401899820864,False,0,0.20193268910363213,4.0,51.61571282473401,0.4411659075921388,False,0.0,8.686277557436596e-09,0.000912585071728671,0.023308082279785036,0.34464111532656494,0.7308771113342177,0.0,0.15095371604984603,1.722081496995652,2.1592528058671543,0.17994321966830482,0.0004274686980566003,2.1833599943968798,0.0007027160941685871,0.027234960289315074,nominal,1.0,0.25,2.9990003332222597,2.1592528058671543,1.5030000584053644,0.39402367837130214,-2.1406578605759328,13101,2330.3968579922366,monte_carlo,stage3a_mc_s13101_c00
SAFE,0.9495,True,1,0.17427524158613794,5.0,1.7527846999735852,4.433049710647258,False,1.899,0.0001113114654478034,0.0023269048474486953,0.018148478668940243,0.3812426312503387,0.7108046777702537,0.0,0.16836106382408314,1.6949107713250646,3.827841492456855,0.3113884525762579,0.0007581002644646109,0.7929527474520187,0.0011973188875441685,0.020185124236181077,nominal,1.0,0.167,2.665778073975342,3.781156586726343,2.1004551738894746,0.5506513916892672,1.6226373259224187,13101,1444.2134165670122,monte_carlo,stage3a_mc_s13101_c01
UNSAFE,1.5,False,2,0.2242585804731756,9.0,7.783198098117369,1.4694521252775044,False,3.0,0.0002885216110786425,0.00539512166477194,0.03517669328812465,0.40904166627075195,0.7237045830490829,0.0,0.18046374026734044,1.6608067050504005,3.33969349684206,0.2670188398286868,0.0006581816920225073,2.108354615830342,0.0020993849855782737,0.042573546186216116,nominal,1.0,0.158,2.665778073975342,3.0257695629746566,1.6018511056091849,0.4199382836384696,2.2906670641747646,13101,563.6837561619827,monte_carlo,stage3a_mc_s13101_c02
SAFE,0.3940172728199634,False,3,0.20759746751082972,5.0,0.732331188782688,0.27195245965659626,False,0.08799999999999997,1.797743572918718e-08,0.002056883898292334,0.04728207273839561,0.3587424491115907,0.7355033275374034,0.0,0.1575840018776937,1.735786690718687,1.9791546740362187,0.1616777115423508,0.0003908353210424313,5.429990315483074,0.001515372611926834,0.059324036659013285,nominal,1.0,0.159,0.0,1.9743169246523735,1.6286486311923083,0.426963472721106,-0.8147723416946632,13101,1293.9023383480123,monte_carlo,stage3a_mc_s13101_c03
SAFE,0.5732418283529649,False,4,0.47184271909363545,4.0,23.252901719618393,0.381750075046434,False,0.869,1.5598257117442516e-05,0.006878901940235578,0.038410220161673336,0.37653395986240573,0.7364532742127199,0.0,0.17608784807081024,1.6605979657290768,2.1493059143802977,0.17419429909464734,0.0004199851341779034,3.789506473295134,0.0020012612140777497,0.051988364864353535,nominal,1.0,0.25,2.332555814728424,2.0040042490171626,1.184353578385571,0.3104879143802643,-1.022231777971219,13101,335.84408431545984,monte_carlo,stage3a_mc_s13101_c04
UNSAFE,7.251222020701021,False,5,0.18060646451182938,5.0,0.6136722926141227,1.947679394774099,True,3.0,0.010876833031051532,0.023800428034611715,0.13802815808354937,0.6971518546472746,0.7025247467725443,0.0,0.19970952591707647,1.9380639268147521,4.656655185002802,0.3688394147148677,0.0009188958505897442,2.325363477388459,0.0045364811575851855,0.03958125938348919,nominal,1.0,0.225,1.9993335554815064,4.224824855992942,1.941326032560766,0.5089343942402266,0.7649605898602171,13101,213.53158877332956,monte_carlo,stage3a_mc_s13101_c05
UNSAFE,2.99308851684022,False,6,0.26957680773075643,10.0,2.0953289893659854,2.603528753014738,True,3.0,0.00448963277526033,0.0214485715820724,0.06939814009844819,0.4049901586533237,0.7296337831095364,0.0,0.19561577364302632,1.6891605598415576,2.1258266073109233,0.17174636287976094,0.00042087778097828557,0.5369496063003968,0.00510092434604924,0.040984457320708025,nominal,1.0,0.209,0.0,2.1258266073109233,1.4358456232179198,0.3764185975041877,3.4917192081053874,13101,159.1799201609853,monte_carlo,stage3a_mc_s13101_c06
UNSAFE,1.5,False,7,0.2575808063978674,4.0,5.572672113292431,0.11432644800948734,False,3.0,0.000822020050118838,0.009279736907683125,0.051568311011420384,0.48663408394465657,0.7439894723743723,0.0,0.195486155449014,1.8879912003279136,1.2134525730105246,0.09546075238530233,0.00022413164293853406,8.80878497097473,0.002920334338359989,0.07215801729738142,nominal,1.0,0.25,4.665111629456848,0.8896762968572959,1.2516049084884426,0.3281183970368055,1.5104343797477846,13101,307.92319264776614,monte_carlo,stage3a_mc_s13101_c07
UNSAFE,1.6865341824470401,False,8,0.4968343885371543,5.0,33.655851737099105,0.14914079449857046,True,1.075,2.464024951059799e-05,0.02023841018936448,0.042992569085642585,0.3757408581340567,0.7402904445930178,0.0,0.16938958972234752,1.648177797880706,1.5960959904717318,0.13144408677387512,0.00031357704092632157,4.6401145733703,0.0032490458541854883,0.04135814587620319,nominal,1.0,0.197,1.9993335554815064,1.5960959904717318,1.1561393571743,0.3030913270269401,-1.5150892845552355,13101,89.78374660338335,monte_carlo,stage3a_mc_s13101_c08
CAUTION,1.5603443108203654,False,9,0.465511496167944,9.0,12.042748095043216,0.9383304837046295,False,1.5020000000000002,0.00014898173043713327,0.018724131729844384,0.06505104538409734,0.3998331586836945,0.7334677958074136,0.0,0.18814539094402857,1.7518007784513336,2.635965796068476,0.2124499443335177,0.0005179577546103229,2.4767723795273233,0.004696157084220614,0.04804907401539914,nominal,1.0,0.20500000000000002,4.998333888703766,2.2728368194705477,1.2888779642005468,0.33788983146469476,-0.18260851996042918,13101,129.2472398825176,monte_carlo,stage3a_mc_s13101_c09
SAFE,0.8520000000000001,True,10,0.20659780073308898,8.0,0.4626924248410498,0.6183604151670168,False,1.7040000000000002,6.84671479208501e-05,0.004918113024481427,0.047444335502557604,0.40804554121032827,0.7292066641340327,0.0,0.17905183331658037,1.6650303995603566,2.270007503683956,0.22702636625122408,0.0005728842120273921,4.153842945114707,0.0023909073889739323,0.06669351050587337,nominal,1.0,0.241,0.0,1.9817081042858111,1.433112519129597,0.3757020920588086,3.427170388896835,13101,621.1564397845684,monte_carlo,stage3a_mc_s13101_c10
UNSAFE,1.5,False,11,0.16427857380873043,5.0,3.6961931044349643,3.9094362986986955,False,3.0,0.001208693574825178,0.004270637741952141,0.02496408643271615,0.453588604740478,0.716097939668395,0.0,0.17593751542606922,1.6798581546920281,3.512128240898095,0.28711277564251014,0.0006952562983111928,0.887496361124239,0.0020545635559673617,0.030807163332129944,nominal,1.0,0.241,0.0,3.305655568684739,1.9044017286058008,0.4992543879193543,4.452129622987456,13101,812.5701413195077,monte_carlo,stage3a_mc_s13101_c11
SAFE,0.38250000000000006,False,0,0.26824391869376873,8.0,28.403281732057124,1.9785678170946233,False,0.7650000000000001,6.40780746594172e-06,0.0033281923693038212,0.025186459587405098,0.3693823950217633,0.7183597683281167,0.0,0.1690679214453885,1.6871889991074134,3.196955019345893,0.26128669226108087,0.0006317609316502401,1.3453222938611362,0.0013368862296097611,0.030196644206780053,nominal,1.0,0.167,0.0,3.196955019345893,1.5763073736847502,0.4132417867515202,-1.7782372633746242,13102,771.5634047576334,monte_carlo,stage3a_mc_s13102_c00
SAFE,0.9039999999999999,True,1,0.4385204931689437,8.0,15.01559542388277,0.6108408131030396,False,1.8079999999999998,0.0001462288313931725,0.010610996821969233,0.045909841014047006,0.3973271326135557,0.736438291868309,0.0,0.1830627761191539,1.7461496573120383,2.464065053611896,0.1970281581779206,0.00048240850719097735,3.293028222408261,0.0030151523151891305,0.054691196457442505,nominal,1.0,0.224,3.3322225924691775,2.09277807128534,1.2309944733512737,0.3227152039895633,0.021647085070945614,13102,236.93807166249576,monte_carlo,stage3a_mc_s13102_c01
UNSAFE,1.5,False,2,0.24725091636121294,6.0,7.402197152779409,0.28698260909864726,False,3.0,0.0003910731022132853,0.007983357064341487,0.04852436755246637,0.43589901003602594,0.7418721362031949,0.0,0.18943600995532298,1.7891709463541619,1.8912755350431507,0.14979176527826815,0.0003642819086118423,5.558382304562999,0.0025092771385518803,0.06925069827741735,nominal,1.0,0.222,0.0,1.474203826506689,1.2621241640649414,0.3308761053634289,0.9613970252810651,13102,351.81425859837617,monte_carlo,stage3a_mc_s13102_c02
SAFE,0.4057761977327167,False,3,0.20959680106631123,4.0,2.1448163122994357,0.12151377357935167,False,0.137,8.308382014240213e-08,0.002941146331484272,0.048693143727926005,0.3667748487407341,0.7411426671923953,0.0,0.16017129053203283,1.7155164409743269,1.5213628965630537,0.12422536044972156,0.0003034266955805093,7.364602283474136,0.0018023616310363494,0.05992529950043122,nominal,1.0,0.16,0.0,1.5186037304906639,1.5821605889212682,0.41477625468776147,-0.9152035481001328,13102,889.6389093084055,monte_carlo,stage3a_mc_s13102_c03
SAFE,0.3570810960360065,False,4,0.17594135288237253,4.0,0.48545381432446805,0.1796630037148226,False,0.17900000000000005,5.083975772411412e-09,0.0012217985246343996,0.04284973152432078,0.3544101149795014,0.7310487706474301,0.0,0.1647801954113177,1.7470784312385035,2.2682189501398966,0.18627686924351064,0.00044860878856563713,5.753637165440392,0.0010997966202926186,0.05338886987147979,nominal,1.0,0.14200000000000002,2.665778073975342,2.2682189501398966,1.7681541664181455,0.46353598237300947,-1.1086577374172228,13102,2165.07766161606,monte_carlo,stage3a_mc_s13102_c04
UNSAFE,2.734174005877308,False,5,0.364211929356881,16.0,2.834692473109317,1.2455022154304596,True,3.0,0.0036156246345820597,0.032810088070527696,0.10198682332818822,0.42643438958544577,0.7399374676429518,0.0,0.21793110238021188,1.883091294011669,1.6208589077231716,0.1294477540379293,0.00031931538025075116,1.0461107977244928,0.007590452640283253,0.04715028219937746,nominal,1.0,0.247,0.0,1.2850503342526685,1.237924958416829,0.32453208696515334,0.07894227266958737,13102,92.16691538011409,monte_carlo,stage3a_mc_s13102_c05
