time_s,contact_force_n,target_x_m,uav_x_m,pitch_rad
0.036000000000000004,0.0,0.0,-0.2999999943102899,1.3002829448090078e-05
0.037,0.0,0.0,-0.2999999933062869,1.4445399851340956e-05
0.038,0.0,0.0,-0.2999999921605315,1.5999900176412323e-05
0.039,0.0,0.0,-0.2999999908577752,1.767134948152821e-05
0.04,0.0,0.0,-0.2999999893816224,1.9464817551872963e-05
0.041,0.0,0.0,-0.29999998771448116,2.1385421582866754e-05
0.042,0.0,0.0,-0.29999998583751253,2.3438322937236575e-05
0.043000000000000003,0.0,0.0,-0.2999999837305802,2.5628723974568445e-05
0.044,0.0,0.0,-0.29999998137219935,2.796186495204663e-05
0.045,0.0,0.0,-0.2999999787394855,3.0443020995105326e-05
0.046,0.0,0.0,-0.29999997580810234,3.307749913673798e-05
0.047,0.0,0.0,-0.2999999725522102,3.5870635424228656e-05
0.048,0.0,0.0,-0.29999996894441344,3.882779209208883e-05
0.049,0.0,0.0,-0.2999999649557078,4.195435480000198e-05
0.05,0.0,0.0,-0.2999999605554278,4.52557299345965e-05
0.051000000000000004,0.0,0.0,-0.29999995571119364,4.87373419738863e-05
0.052000000000000005,0.0,0.0,-0.29999995038885785,5.2404630913235936e-05
0.053,0.0,0.0,-0.29999994455245227,5.626304975172534e-05
0.054,0.0,0.0,-0.29999993816413423,6.0318062037806615e-05
0.055,0.0,0.0,-0.2999999311841332,6.457513947316266e-05
0.056,0.0,0.0,-0.29999992357069705,6.903975957369469e-05
0.057,0.0,0.0,-0.2999999152800384,7.371740338658225e-05
0.058,0.0,0.0,-0.2999999062662807,7.861355326237637e-05
0.059000000000000004,0.0,0.0,-0.29999989648140474,8.373369068110254e-05
0.06,0.0,0.0,-0.2999998858751946,8.908329413136694e-05
0.061,0.0,0.0,-0.2999998743951842,9.466783704147435e-05
0.062,0.0,0.0,-0.29999986198660344,0.00010049278576158323
0.063,0.0,0.0,-0.2999998485923246,0.00010656359759593769
0.064,0.0,0.0,-0.2999998341528089,0.00011288571888423274
0.065,0.0,0.0,-0.2999998186060531,0.00011946458313118287
0.066,0.0,0.0,-0.2999998018875362,0.00012630560918338029
0.067,0.0,0.0,-0.29999978393016624,0.00013341419945254304
0.068,0.0,0.0,-0.29999976466422734,0.00014079573818426782
0.069,0.0,0.0,-0.29999974401732693,0.0001484555897714171
0.07,0.0,0.0,-0.29999972191434315,0.00015639909711128344
0.07100000000000001,0.0,0.0,-0.2999996982773725,0.00016463158000568897
0.07200000000000001,0.0,0.0,-0.2999996730256775,0.00017315833360319018
0.073,0.0,0.0,-0.29999964607563495,0.00018198462688257346
0.074,0.0,0.0,-0.29999961734068414,0.00019111570117683854
0.075,0.0,0.0,-0.2999995867312756,0.00020055676873688145
0.076,0.0,0.0,-0.29999955415481966,0.00021031301133410027
0.077,0.0,0.0,-0.2999995195156361,0.00022038957890116177
0.078,0.0,0.0,-0.2999994827149032,0.0002307915882101767
0.079,0.0,0.0,-0.2999994436506079,0.0002415241215875471
0.08,0.0,0.0,-0.29999940221749566,0.00025259222566475825
0.081,0.0,0.0,-0.29999935830702135,0.0002640009101644035
0.082,0.0,0.0,-0.2999993118072997,0.00027575514672073737
0.083,0.0,0.0,-0.29999926260305687,0.00028785986773406945
0.084,0.0,0.0,-0.2999992105755818,0.00030031996525831854
0.085,0.0,0.0,-0.2999991556026786,0.00031314028992106117
0.08600000000000001,0.0,0.0,-0.29999909755861853,0.00032632564987541756
0.08700000000000001,0.0,0.0,-0.29999903631409325,0.00033988080978313094
0.088,0.0,0.0,-0.29999897173616785,0.000353810489828206
0.089,0.0,0.0,-0.2999989036882347,0.0003681193647604834
0.09,0.0,0.0,-0.29999883202996735,0.0003828120629685376
0.091,0.0,0.0,-0.2999987566172756,0.00039789316558129625
0.092,0.0,0.0,-0.29999867730226004,0.0004133672055977896
0.093,0.0,0.0,-0.2999985939331681,0.0004292386670444475
0.094,0.0,0.0,-0.29999850635434955,0.00044551198415937335
0.095,0.0,0.0,-0.2999984144062135,0.0004621915406030323
0.096,0.0,0.0,-0.2999983179251851,0.00047928166869480295
0.097,0.0,0.0,-0.29999821674366317,0.0004967866486748493
0.098,0.0,0.0,-0.29999811068997817,0.00051471070799078
0.099,0.0,0.0,-0.29999799958835077,0.0005330580206085714
0.1,0.0,0.0,-0.2999978832588509,0.0005518327063472394
0.101,0.0,0.0,-0.2999977615173574,0.0005710388302367571
0.10200000000000001,0.0,0.0,-0.29999763417551806,0.0005906804018987175
0.10300000000000001,0.0,0.0,-0.2999975010407103,0.0006107613749492565
0.10400000000000001,0.0,0.0,-0.29999736191600257,0.0006312856464237563
0.105,0.0,0.0,-0.2999972166001158,0.0006522570562228581
0.106,0.0,0.0,-0.29999706488738603,0.0006736793865793237
0.107,0.0,0.0,-0.29999690656772715,0.0006955563615452879
0.108,0.0,0.0,-0.2999967414265945,0.0007178916464994604
0.109,0.0,0.0,-0.2999965692449488,0.0007406888476738364
0.11,0.0,0.0,-0.2999963897992208,0.0007639515116994875
0.111,0.0,0.0,-0.2999962028612765,0.0007876831251710086
0.112,0.0,0.0,-0.29999600819838307,0.0008118871142292096
0.113,0.0,0.0,-0.299995805573175,0.0008365668441616414
0.114,0.0,0.0,-0.29999559474362136,0.000861725619020559
0.115,0.0,0.0,-0.2999953754629932,0.0008873666812579279
0.116,0.0,0.0,-0.29999514747983175,0.00091349321137709
0.117,0.0,0.0,-0.2999949105379173,0.0009401083276007107
0.11800000000000001,0.0,0.0,-0.2999946643762386,0.0009672150855546345
0.11900000000000001,0.0,0.0,-0.2999944087289629,0.0009948164779672874
0.12,0.0,0.0,-0.29999414332540636,0.0010229154343842693
0.121,0.0,0.0,-0.29999386789000576,0.0010515148208977807
