feature_set,noise_regime,outcome,trial_count,median_abs_relative_error,p95_abs_relative_error,relative_rmse,relative_bias,bound_kind,bound_coverage,median_bound_ratio
stiffness_only,nominal,peak_velocity_m_per_s,240,0.16846338328576155,0.39559934666405233,0.2326248006359636,0.03057300922566165,upper,0.9541666666666667,1.510253603858514
stiffness_only,nominal,dominant_response_frequency_hz,240,0.534611417552856,7.957935941769894,3.41141082960843,1.0256222533869574,upper,0.9041666666666667,2.8989417338409638
stiffness_only,nominal,late_hold_oscillation_rms_m,240,0.8389189903466105,1.4778701937318428,0.8611950979168639,-0.12834665182997648,upper,0.9458333333333333,144.93172786661108
stiffness_only,nominal,hold_settling_time_s,240,3.0499005282909954,537608.9849958732,220702.40239477291,119695.62052543256,upper,0.9416666666666667,1471955.1975623397
stiffness_only,nominal,force_to_displacement_gain_m_per_n,240,0.11280595207140096,0.25674750900759824,0.14566892174793045,0.01601598313164135,upper,0.975,1.476418187707437
stiffness_only,nominal,disturbance_limited_safe_force_n,240,0.2255988537248575,0.5962978057684354,0.43988517686187123,0.048766770464602205,lower,0.9666666666666667,0.5406690392033335
stiffness_only,high,peak_displacement_m,240,0.11466277301704905,0.2625504588324414,0.15339843645289944,0.01898474413906762,upper,0.975,1.493036546048653
stiffness_only,high,peak_velocity_m_per_s,240,0.1716642334476613,0.4086209324808643,0.2387490066890382,0.03361541029662935,upper,0.95,1.5300421175427286
stiffness_only,high,dominant_response_frequency_hz,240,0.528842441121874,7.849056757368854,3.370402871968587,1.017304149321303,upper,0.9041666666666667,2.89458987458903
stiffness_only,high,late_hold_oscillation_rms_m,240,0.839900140472081,1.5019718899977124,0.8608263456474792,-0.12798187471975916,upper,0.9458333333333333,150.2987859022333
stiffness_only,high,hold_settling_time_s,240,3.562244095740538,533378.8514529981,221032.0034417745,120245.64817049574,upper,0.9458333333333333,1453620.2220934764
stiffness_only,high,force_to_displacement_gain_m_per_n,240,0.11466277301704966,0.26255045883244743,0.1533984364529009,0.018984744139072963,upper,0.975,1.493036546048654
stiffness_only,high,disturbance_limited_safe_force_n,240,0.2266569209187864,0.5990136280217087,0.4371005736531886,0.047979017460091956,lower,0.9666666666666667,0.5376571280000099
frequency_response,low,peak_displacement_m,240,0.11279827409212667,0.5819098776816461,0.2851817461513911,0.045988018484481405,upper,0.9166666666666666,1.4976395523850932
frequency_response,low,peak_velocity_m_per_s,240,0.07634732225918536,0.41402223066911603,0.20493769142774673,0.021487128441465327,upper,0.9541666666666667,1.318183842008958
frequency_response,low,dominant_response_frequency_hz,240,0.27401047343426543,5.870084095844439,2.0481918117463898,0.5587331029651547,upper,0.9791666666666666,2.2135742054292673
frequency_response,low,late_hold_oscillation_rms_m,240,0.17063501734658523,1.5450236811439872,26.871313015127864,2.8368558848781995,upper,0.9583333333333334,2.9689202307189797
frequency_response,low,hold_settling_time_s,240,0.39275304624255375,226671.7720626612,104619.98926692318,33495.495283181415,upper,0.9291666666666667,281179.81982973404
frequency_response,low,force_to_displacement_gain_m_per_n,240,0.11279827409212907,0.5819098776816449,0.28518174615138864,0.045988018484477984,upper,0.9166666666666666,1.4976395523850936
frequency_response,low,disturbance_limited_safe_force_n,240,0.1566305908876075,0.4981864969771163,0.25470515744022015,0.027740173672363463,lower,0.9541666666666667,0.6732837901651794
frequency_response,nominal,peak_displacement_m,240,0.1222317545725798,0.59992013084935,0.29714577868522,0.05344178605787904,upper,0.9166666666666666,1.4881361468968382
frequency_response,nominal,peak_velocity_m_per_s,240,0.08781406013661024,0.421969896429118,0.2131648130618278,0.02606644075807425,upper,0.9458333333333333,1.3181327230596085
frequency_response,nominal,dominant_response_frequency_hz,240,0.2785836832793595,5.610657219848295,2.6574887769430795,0.6662128730440346,upper,0.9666666666666667,2.214080451966526
frequency_response,nominal,late_hold_oscillation_rms_m,240,0.16656387701795794,1.520248295820545,39.65674091562272,3.76338771667424,upper,0.9625,3.0518282436179165
frequency_response,nominal,hold_settling_time_s,240,0.401534909954736,253417.55317614827,108700.48157539374,37701.09415251074,upper,0.925,306991.47572876175
