target_id,source_seed,source_case_index,selected_group,selection_rank,true_severity_ratio,absolute_log_distance_to_safe_boundary,actual_risk_class
boundary_s10272_c00,10272,0,SAFE,63,0.8168523718746931,0.20229689582932384,SAFE
boundary_s10201_c06,10201,6,SAFE,64,0.816212448278161,0.20308060462200433,SAFE
boundary_s10281_c01,10281,1,SAFE,65,0.8132414231028211,0.20672726013025275,SAFE
boundary_s10259_c03,10259,3,SAFE,66,0.81,0.21072103131565253,SAFE
boundary_s10242_c03,10242,3,SAFE,67,0.8036539492488036,0.2185865138388217,SAFE
boundary_s10224_c01,10224,1,SAFE,68,0.8014476496218628,0.22133562457177758,SAFE
boundary_s10299_c01,10299,1,SAFE,69,0.7960064910666594,0.22814793856464657,SAFE
boundary_s10266_c07,10266,7,SAFE,70,0.7952282781089277,0.22912606326987756,SAFE
boundary_s10284_c03,10284,3,SAFE,71,0.7943374235889779,0.2302469412710427,SAFE
boundary_s10265_c01,10265,1,SAFE,72,0.7929283414433572,0.23202242531010173,SAFE
boundary_s10297_c03,10297,3,SAFE,73,0.7904159464880124,0.23519595753942957,SAFE
boundary_s10210_c04,10210,4,SAFE,74,0.788274546912993,0.23790884001679183,SAFE
boundary_s10228_c08,10228,8,SAFE,75,0.7874683781731143,0.2389320637893777,SAFE
boundary_s10234_c00,10234,0,SAFE,76,0.7839592717264833,0.2433982093096075,SAFE
boundary_s10294_c09,10294,9,SAFE,77,0.782503499791731,0.24525688400053877,SAFE
boundary_s10285_c05,10285,5,SAFE,78,0.7816259669113602,0.24637895604268445,SAFE
boundary_s10298_c05,10298,5,SAFE,79,0.7791043052125358,0.24961034578132663,SAFE
boundary_s10218_c09,10218,9,SAFE,80,0.7759812236746485,0.2536269553872094,SAFE
boundary_s10245_c02,10245,2,SAFE,81,0.7758263613565913,0.2538265449755902,SAFE
boundary_s10217_c09,10217,9,SAFE,82,0.7746970866123821,0.25528318201692257,SAFE
boundary_s10227_c08,10227,8,SAFE,83,0.766969407674346,0.2653083641021929,SAFE
boundary_s10271_c02,10271,2,SAFE,84,0.7545632814306507,0.2816161322824791,SAFE
boundary_s10276_c02,10276,2,SAFE,85,0.7537981482944346,0.28263065464663417,SAFE
boundary_s10283_c10,10283,10,SAFE,86,0.748905824573228,0.2891420382524162,SAFE
boundary_s10254_c08,10254,8,SAFE,87,0.7473648397427861,0.29120180646416177,SAFE
boundary_s10211_c01,10211,1,SAFE,88,0.7414921706640268,0.299090676240708,SAFE
boundary_s10274_c02,10274,2,SAFE,89,0.7382920234469125,0.30341583692104934,SAFE
boundary_s10287_c03,10287,3,SAFE,90,0.7373267274695275,0.30472416417628173,SAFE
boundary_s10231_c01,10231,1,SAFE,91,0.737,0.3051673867928005,SAFE
boundary_s10300_c06,10300,6,SAFE,92,0.73660190841116,0.30570768413667876,SAFE
boundary_s10245_c05,10245,5,SAFE,93,0.7355942864606663,0.30707655346448176,SAFE
boundary_s10221_c09,10221,9,SAFE,94,0.7351858797815936,0.30763191408049156,SAFE
boundary_s10240_c10,10240,10,SAFE,95,0.7301681877133681,0.31448037724844996,SAFE
boundary_s10202_c04,10202,4,SAFE,96,0.7286172109771765,0.31660677270317056,SAFE
boundary_s10250_c07,10250,7,SAFE,97,0.7213351851546972,0.3266513604671646,SAFE
boundary_s10247_c04,10247,4,SAFE,98,0.7181021405816179,0.33114346297402913,SAFE
boundary_s10251_c07,10251,7,SAFE,99,0.7138944751425359,0.3370201214831669,SAFE
boundary_s10257_c05,10257,5,SAFE,100,0.7123871992196867,0.3391336962574225,SAFE
boundary_s10252_c01,10252,1,SAFE,101,0.7100165337842407,0.3424670221978571,SAFE
boundary_s10249_c05,10249,5,SAFE,102,0.7090928436072189,0.34376881094251927,SAFE
boundary_s10286_c03,10286,3,SAFE,103,0.708705137691645,0.34431572373313096,SAFE
boundary_s10268_c03,10268,3,SAFE,104,0.7068690658326334,0.3469098270787197,SAFE
boundary_s10209_c00,10209,0,SAFE,105,0.7060000000000001,0.3481400414888949,SAFE
boundary_s10263_c04,10263,4,SAFE,106,0.7025077098533281,0.3530989029542774,SAFE
boundary_s10216_c05,10216,5,SAFE,107,0.7020073849933067,0.3538113550781747,SAFE
boundary_s10278_c07,10278,7,SAFE,108,0.7004340835468058,0.3560550167807068,SAFE
boundary_s10279_c02,10279,2,SAFE,109,0.6938047811367243,0.36556465323828596,SAFE
boundary_s10300_c05,10300,5,SAFE,110,0.6913907752326802,0.36905009374057685,SAFE
boundary_s10242_c01,10242,1,SAFE,111,0.6880000000000001,0.3739664410487933,SAFE
boundary_s10211_c06,10211,6,SAFE,112,0.686722422192288,0.3758251117955381,SAFE
boundary_s10271_c05,10271,5,SAFE,113,0.6804594135002652,0.38498710084376325,SAFE
boundary_s10250_c04,10250,4,SAFE,114,0.6714376599479231,0.398334104338261,SAFE
boundary_s10233_c06,10233,6,SAFE,115,0.6693474035228908,0.4014520658600312,SAFE
boundary_s10264_c05,10264,5,SAFE,116,0.6689743824414952,0.4020095119017339,SAFE
boundary_s10256_c05,10256,5,SAFE,117,0.6675960994175069,0.4040719299054938,SAFE
boundary_s10284_c01,10284,1,SAFE,118,0.6612441819916263,0.4136320943487111,SAFE
boundary_s10276_c06,10276,6,SAFE,119,0.6601538869521334,0.4152823090910248,SAFE
boundary_s10248_c00,10248,0,SAFE,120,0.6601534786292527,0.41528292761803054,SAFE
boundary_s10283_c07,10283,7,SAFE,121,0.658222409715287,0.41821239608303995,SAFE
boundary_s10216_c07,10216,7,SAFE,122,0.6573591061150641,0.4195248251704856,SAFE
boundary_s10262_c04,10262,4,SAFE,123,0.657,0.4200712604975265,SAFE
boundary_s10273_c10,10273,10,SAFE,124,0.6535943154197069,0.4252684328124357,SAFE
boundary_s10205_c08,10205,8,SAFE,125,0.6497344040547076,0.4311916087425229,SAFE
boundary_s10224_c03,10224,3,SAFE,126,0.6492025625771666,0.43201049606488484,SAFE
boundary_s10229_c07,10229,7,SAFE,127,0.6476480415644641,0.4344078759207906,SAFE
boundary_s10297_c07,10297,7,SAFE,128,0.6451387946130576,0.43828979988883104,SAFE
boundary_s10287_c05,10287,5,SAFE,129,0.644081367539755,0.4399302137474867,SAFE
boundary_s10291_c07,10291,7,SAFE,130,0.6435951474090666,0.4406854036545042,SAFE
boundary_s10202_c10,10202,10,SAFE,131,0.6434327386264045,0.44093778168809056,SAFE
boundary_s10258_c06,10258,6,SAFE,132,0.6367046943571478,0.4514493190365215,SAFE
boundary_s10226_c03,10226,3,SAFE,133,0.6364993397052494,0.45177189836895404,SAFE
boundary_s10241_c09,10241,9,SAFE,134,0.6357013143383615,0.45302645749690346,SAFE
boundary_s10247_c01,10247,1,SAFE,135,0.63,0.4620354595965587,SAFE
boundary_s10239_c00,10239,0,SAFE,136,0.6281693915663327,0.4649454170914951,SAFE
boundary_s10282_c04,10282,4,SAFE,137,0.6270366794516635,0.46675024013736177,SAFE
boundary_s10231_c07,10231,7,SAFE,138,0.6250486649837509,0.469925768302976,SAFE
boundary_s10246_c04,10246,4,SAFE,139,0.6196584485710569,0.47858684213983815,SAFE
boundary_s10209_c11,10209,11,SAFE,140,0.6174677767316278,0.48212839527216966,SAFE
boundary_s10297_c09,10297,9,SAFE,141,0.615,0.4861330111756192,SAFE
boundary_s10212_c07,10212,7,SAFE,142,0.611628213077804,0.4916306760405554,SAFE
boundary_s10296_c03,10296,3,SAFE,143,0.6102315891462781,0.493916739527092,SAFE
boundary_s10238_c00,10238,0,SAFE,144,0.6081089570293775,0.49740120743095917,SAFE
boundary_s10217_c04,10217,4,SAFE,145,0.6043527418198832,0.5035972418790147,SAFE
boundary_s10205_c02,10205,2,SAFE,146,0.6038859967947995,0.5043698458907618,SAFE
boundary_s10275_c00,10275,0,SAFE,147,0.5971023983353045,0.515666658797993,SAFE
boundary_s10244_c08,10244,8,SAFE,148,0.5947266048509059,0.51965346667884,SAFE
boundary_s10270_c07,10270,7,SAFE,149,0.589122891034078,0.5291204735722279,SAFE
boundary_s10214_c07,10214,7,SAFE,150,0.5854836337923373,0.5353170488673462,SAFE
boundary_s10257_c07,10257,7,SAFE,151,0.5810727516965275,0.5428793119030411,SAFE
boundary_s10210_c02,10210,2,SAFE,152,0.5802040378725964,0.5443754478695563,SAFE
boundary_s10219_c02,10219,2,SAFE,153,0.5785056409485964,0.5473069814044229,SAFE
boundary_s10232_c09,10232,9,SAFE,154,0.5757664542154273,0.5520531619395078,SAFE
boundary_s10213_c07,10213,7,SAFE,155,0.5750000000000001,0.5533852381847865,SAFE
boundary_s10204_c09,10204,9,SAFE,156,0.5748415020956682,0.553660924712098,SAFE
boundary_s10262_c00,10262,0,SAFE,157,0.5738035131002908,0.5554682529365521,SAFE
boundary_s10261_c07,10261,7,SAFE,158,0.5733196246409025,0.5563119086386626,SAFE
boundary_s10208_c06,10208,6,SAFE,159,0.572390006533322,0.5579346903388287,SAFE
boundary_s10249_c10,10249,10,SAFE,160,0.5697462157808522,0.5625642527724735,SAFE
boundary_s10230_c01,10230,1,SAFE,161,0.5678654967365312,0.5658706898230842,SAFE
boundary_s10203_c07,10203,7,SAFE,162,0.5666431042996002,0.5680256191182028,SAFE
boundary_s10236_c04,10236,4,SAFE,163,0.5661919424628907,0.568822137308299,SAFE
boundary_s10206_c06,10206,6,SAFE,164,0.5614948397948675,0.5771526948817227,SAFE
boundary_s10209_c04,10209,4,SAFE,165,0.561,0.5780343734594406,SAFE
boundary_s10280_c07,10280,7,SAFE,166,0.5557940439637364,0.5873574778813204,SAFE
boundary_s10268_c05,10268,5,SAFE,167,0.5478853825479046,0.601689169844755,SAFE
boundary_s10207_c00,10207,0,SAFE,168,0.547879616815407,0.6016996935108715,SAFE
boundary_s10279_c09,10279,9,SAFE,169,0.5464588926874727,0.6042961934307499,SAFE
boundary_s10253_c00,10253,0,SAFE,170,0.5449989705278776,0.6069713732603511,SAFE
boundary_s10280_c02,10280,2,SAFE,171,0.5400085089098664,0.6161703823074677,SAFE
boundary_s10263_c06,10263,6,SAFE,172,0.532,0.6311117896404926,SAFE
boundary_s10297_c05,10297,5,SAFE,173,0.5310635375769179,0.6328736084447546,SAFE
boundary_s10224_c11,10224,11,SAFE,174,0.5304862410556787,0.6339612570690023,SAFE
boundary_s10225_c08,10225,8,SAFE,175,0.5295875795667037,0.6356567271141415,SAFE
boundary_s10278_c06,10278,6,SAFE,176,0.5282416382616121,0.638201451742134,SAFE
boundary_s10255_c01,10255,1,SAFE,177,0.5278387510320139,0.638964437691362,SAFE
boundary_s10277_c08,10277,8,SAFE,178,0.5264659532816447,0.6415686156307803,SAFE
boundary_s10266_c00,10266,0,SAFE,179,0.5262872902052033,0.6419080362485975,SAFE
boundary_s10230_c00,10230,0,SAFE,180,0.5259386811781146,0.6425706487469095,SAFE
boundary_s10228_c00,10228,0,SAFE,181,0.5247597107393582,0.6448148149940989,SAFE
boundary_s10269_c04,10269,4,SAFE,182,0.524081689829609,0.6461077101903191,SAFE
boundary_s10289_c10,10289,10,SAFE,183,0.5229313184181579,0.6483051458769653,SAFE
boundary_s10242_c09,10242,9,SAFE,184,0.5228564548042826,0.6484483175909977,SAFE
boundary_s10252_c04,10252,4,SAFE,185,0.5225616671353083,0.6490122788818935,SAFE
boundary_s10222_c08,10222,8,SAFE,186,0.5218349477267676,0.6504039331930733,SAFE
boundary_s10227_c00,10227,0,SAFE,187,0.5208364503841357,0.652319201320058,SAFE
boundary_s10219_c10,10219,10,SAFE,188,0.5178561017905758,0.6580578710861357,SAFE
boundary_s10212_c04,10212,4,SAFE,189,0.512485530510228,0.6684828015189113,SAFE
boundary_s10284_c06,10284,6,SAFE,190,0.511,0.6713856887784326,SAFE
boundary_s10240_c02,10240,2,SAFE,191,0.5091836408388252,0.6749465399971718,SAFE
boundary_s10246_c11,10246,11,SAFE,192,0.5065287012508852,0.680174291053072,SAFE
boundary_s10260_c11,10260,11,SAFE,193,0.5029429998769251,0.6872784356278354,SAFE
boundary_s10292_c07,10292,7,SAFE,194,0.4968222756109014,0.6995229111818749,SAFE
boundary_s10254_c11,10254,11,SAFE,195,0.4946653405256855,0.7038738248045088,SAFE
boundary_s10264_c03,10264,3,SAFE,196,0.49461179820073503,0.7039820701543845,SAFE
boundary_s10270_c04,10270,4,SAFE,197,0.4903143420403259,0.7127085791918341,SAFE
boundary_s10245_c09,10245,9,SAFE,198,0.48808236448875997,0.7172711076805974,SAFE
boundary_s10215_c02,10215,2,SAFE,199,0.4842491460900741,0.7251557400624635,SAFE
boundary_s10270_c11,10270,11,NON_SAFE,0,1.0106712838442833,0.010614747549090055,CAUTION
boundary_s10217_c01,10217,1,NON_SAFE,1,1.0112018935405582,0.011139616976501551,CAUTION
boundary_s10219_c04,10219,4,NON_SAFE,2,1.025682296550456,0.025358046311412086,CAUTION
boundary_s10286_c07,10286,7,NON_SAFE,3,1.028303083195695,0.02790995159111226,CAUTION
boundary_s10223_c04,10223,4,NON_SAFE,4,1.032083985646962,0.03158004518893575,CAUTION
boundary_s10253_c05,10253,5,NON_SAFE,5,1.032871951516642,0.03234322458055789,CAUTION
boundary_s10215_c08,10215,8,NON_SAFE,6,1.0363731483773717,0.03572726081882671,CAUTION
