target,pipeline,timing_profile,trial_count,failure_fraction,stiffness_relative_bias,stiffness_median_abs_relative_error,stiffness_p95_abs_relative_error,damping_relative_bias,damping_median_abs_relative_error,damping_p95_abs_relative_error,effective_mass_relative_bias,effective_mass_median_abs_relative_error,effective_mass_p95_abs_relative_error
compliant,causal_polynomial,exp_0002_nominal_timing,20,0.0,-0.2778712924203236,0.27759330734082277,0.2887397636502592,-0.7639158669184998,0.761377404362676,0.7835289388538366,-0.6255393946928414,0.6221876241710907,0.641644233766399
compliant,alpha_beta_gamma,exp_0002_nominal_timing,20,0.0,-0.20951657903593746,0.21001213611087585,0.21990714617493085,-0.824302791029436,0.8238697187641109,0.8341607996312386,-0.5078581826138816,0.5097961068764555,0.5247046957451054
compliant,centered_savitzky_golay,exp_0002_nominal_timing,20,0.0,0.04867086759383475,0.04835281298444677,0.05263765837002283,0.04139560880609913,0.04222562231013889,0.05281715257970421,0.13906100979571018,0.1386495322026935,0.1454915847282737
compliant,backward_difference,exp_0002_nominal_plus_mismatch,20,0.0,-0.484538584524807,0.48457901965511857,0.49123953790559627,-0.17642585897079793,0.16639264841412765,0.3145845789073712,-1.0024508646868275,1.002338645756498,1.0041682513736996
compliant,causal_low_pass,exp_0002_nominal_plus_mismatch,20,0.0,-0.37439323114997436,0.37596011726892725,0.3840464894723633,-0.11705159329900268,0.11490781928608965,0.22345255143309917,-0.8107465969308493,0.809655053524232,0.834510106539639
compliant,causal_polynomial,exp_0002_nominal_plus_mismatch,20,0.0,-0.2740128027434431,0.26938842107265804,0.31134020176486293,-0.7523084859975924,0.7438852886937974,0.8471590075366103,-0.6200023739356204,0.6145525995833421,0.6813407602641933
compliant,alpha_beta_gamma,exp_0002_nominal_plus_mismatch,20,0.0,-0.2074817321663877,0.20314652387049537,0.22946884677233,-0.8166109124458106,0.8114682787385583,0.8889307010697574,-0.5058047424119724,0.49918191575302656,0.5363834644078317
compliant,centered_savitzky_golay,exp_0002_nominal_plus_mismatch,20,0.0,0.046972615287041594,0.04632836994383624,0.05376989493771415,0.0497787605675218,0.06812583479194041,0.13011146877214583,0.13345147641775074,0.13390074390339057,0.16046065963271647
compliant,backward_difference,corrected_common_delay,20,0.0,-0.4891617224229418,0.4900338892593339,0.49287216616545726,-0.2396263029594828,0.23930815688826385,0.2548061334704471,-1.001627861238616,1.0017638923551269,1.0031123383680733
compliant,causal_low_pass,corrected_common_delay,20,0.0,-0.37850197046802847,0.3785838140498378,0.39007546447600416,-0.16445603058608121,0.16369640931577428,0.17549926207877975,-0.8088640866978978,0.8080642571714234,0.8301722506491062
compliant,causal_polynomial,corrected_common_delay,20,0.0,-0.29812849580140777,0.29810952889232933,0.30890012657559246,-0.803548787423144,0.8006650325240747,0.8227568501316594,-0.6535755235106955,0.6500454408464168,0.6685976752279259
compliant,alpha_beta_gamma,corrected_common_delay,20,0.0,-0.22186765922677507,0.22253350866017982,0.2322016277844373,-0.8522426500049584,0.8516971230424165,0.8622845850296468,-0.5216890707319183,0.5236173628309857,0.5390263060291856
compliant,centered_savitzky_golay,corrected_common_delay,20,0.0,0.050157687771051694,0.050032890055862395,0.054230714758249865,-0.003893817062292673,0.006261970847918619,0.016108413387724927,0.15186846661940206,0.15153553900156336,0.15727364018412987
lightly_damped_flexible,backward_difference,synchronized,20,0.0,-0.8712803572712107,0.8710641503405405,0.8739718393249558,-0.286844447978961,0.29338844008126364,0.34794655658273227,-0.990459946259613,0.990774247767346,0.9921520959568402
lightly_damped_flexible,causal_low_pass,synchronized,20,0.0,-0.6381942986354237,0.6369214683003004,0.6615744697046684,-1.0428178535891786,1.0487181471951552,1.0994548383689304,-0.7390056091574099,0.7379675669245732,0.7651582047535763
lightly_damped_flexible,causal_polynomial,synchronized,20,0.0,-0.458567088178214,0.45930520767119043,0.4804309991991738,-5.1202846317506205,5.12799572193454,5.184710888208271,-0.613152361911364,0.6141274036017741,0.633091040627864
lightly_damped_flexible,alpha_beta_gamma,synchronized,20,0.0,-0.3643192906393021,0.3628456441301114,0.3742106325755187,-9.632004338912004,9.631246507570975,9.780782871008086,-0.4265389614355102,0.42551154706156424,0.4376372426044805
lightly_damped_flexible,centered_savitzky_golay,synchronized,20,0.0,0.07249626894491731,0.07292675123754927,0.07567950935232982,3.3024247882540436e-05,0.019857345883228072,0.05457374535148445,0.16190048017598607,0.16285477875543342,0.16621157435447
lightly_damped_flexible,backward_difference,exp_0002_nominal_timing,20,0.0,-0.8690851038227299,0.8691638115511588,0.8716599025511915,-0.283639517062115,0.2925391264399446,0.3259451977996519,-0.9904429820470788,0.990746854309614,0.992253184884315
lightly_damped_flexible,causal_low_pass,exp_0002_nominal_timing,20,0.0,-0.6356005932629596,0.634197279864122,0.6586518249984505,-1.0232074309797246,1.0327672639659828,1.0811988995108222,-0.7385695558830397,0.7373966095991153,0.7643198956821918
lightly_damped_flexible,causal_polynomial,exp_0002_nominal_timing,20,0.0,-0.4253195654786567,0.4221392921099586,0.43978463440631727,-5.395400534707035,5.403341556419685,5.452169718582469,-0.5845604707387562,0.5812549806318292,0.5977968658524807
lightly_damped_flexible,alpha_beta_gamma,exp_0002_nominal_timing,20,0.0,-0.34372979034891893,0.3444630309845831,0.3567905176679036,-9.935913879196798,9.939033042042771,10.09221790244118,-0.40559774193231257,0.40602749635273794,0.420077327772313
lightly_damped_flexible,centered_savitzky_golay,exp_0002_nominal_timing,20,0.0,0.07070385154528783,0.07137566282791141,0.07414367232456458,0.07450175673552203,0.07739997064099868,0.12317026942286154,0.15795241289103212,0.15908927957388852,0.16242007962276708
lightly_damped_flexible,backward_difference,exp_0002_nominal_plus_mismatch,20,0.0,-0.8687684151487499,0.8689397528692343,0.8713762080451819,-0.26371500638514067,0.2321079816512429,0.553881434454795,-0.9905175790088208,0.9907587676132776,0.9922493241806669
lightly_damped_flexible,causal_low_pass,exp_0002_nominal_plus_mismatch,20,0.0,-0.6357207573809209,0.6346409993761779,0.6574075144879583,-1.0078022813620113,0.9856734740180966,1.211766422019328,-0.7390930372173953,0.73858053586654,0.7642667851939583
lightly_damped_flexible,causal_polynomial,exp_0002_nominal_plus_mismatch,20,0.0,-0.4186261639896105,0.4146058189695834,0.4847285798718426,-5.423093825346625,5.424191133210948,5.615608944342255,-0.5788632155617193,0.5748502914954109,0.6366313866918643
lightly_damped_flexible,alpha_beta_gamma,exp_0002_nominal_plus_mismatch,20,0.0,-0.34062298384206996,0.33474797940191514,0.37819480643462855,-9.9645106358912,10.053933187388282,10.203193496605785,-0.40254246281983264,0.395124771464475,0.44105595779212686
lightly_damped_flexible,centered_savitzky_golay,exp_0002_nominal_plus_mismatch,20,0.0,0.06877766388533935,0.0687796592306959,0.0737799877764598,0.09116427371563007,0.12521799204904505,0.2171454074289625,0.15517593771362356,0.1556857578798495,0.16379881777749358
lightly_damped_flexible,backward_difference,corrected_common_delay,20,0.0,-0.8701073742566278,0.8702072750765035,0.8726378720560731,-0.4063943975647931,0.4160221548250189,0.44871211589262167,-0.9903810807378598,0.990681140741491,0.9921772584063033
lightly_damped_flexible,causal_low_pass,corrected_common_delay,20,0.0,-0.6374818024064198,0.6360598259394907,0.6604508791088065,-1.0972588987213994,1.10702476221068,1.1542829151687206,-0.7395135051024373,0.7383285735906188,0.7651496967322717
lightly_damped_flexible,causal_polynomial,corrected_common_delay,20,0.0,-0.45531554146989095,0.4522663309916968,0.4692059867523089,-5.273724972867119,5.281957217976791,5.333397000418559,-0.6107525931250343,0.6075602098415049,0.6229252282451857
lightly_damped_flexible,alpha_beta_gamma,corrected_common_delay,20,0.0,-0.3601248478565407,0.3606299109326754,0.37374879095835395,-9.770851905400333,9.779933617808013,9.929209554822341,-0.4225132699374843,0.4228976442681658,0.43760333997858425
lightly_damped_flexible,centered_savitzky_golay,corrected_common_delay,20,0.0,0.07148664428448435,0.07253287323366266,0.07531184793561349,-0.013760459051362094,0.025785996029768388,0.05667515242998525,0.16060410699888378,0.16183592170939054,0.1644676104720587
high_damping,backward_difference,synchronized,20,0.0,-0.11990958108130054,0.12008546857014456,0.12592407647343573,-0.6033676441078029,0.5998205622352348,0.6335549555207494,-1.047880880726434,1.048123045845836,1.0511568481605358
high_damping,causal_low_pass,synchronized,20,0.0,-0.096865373427396,0.09762018324159327,0.10291403163182564,-0.16838169007709594,0.1683551621422154,0.1835464720648668,-1.0424052076953931,1.0427802021015573,1.0488940149510733
high_damping,causal_polynomial,synchronized,20,0.0,-0.06962069663449513,0.07068892767576727,0.07794879929121391,-0.8521637534976364,0.8555297457807578,0.8697056749992612,-0.5150728832542126,0.513737724542696,0.5501963222463497
high_damping,alpha_beta_gamma,synchronized,20,0.0,-0.02861748867668417,0.028919822015349816,0.035504864582633765,-0.8245718116502523,0.8261788798750733,0.8365446606157819,-0.5606863697774898,0.5616000993271308,0.578923710850147
high_damping,centered_savitzky_golay,synchronized,20,0.0,0.0154356221141884,0.01452945608221114,0.022085526707108876,-0.03881541524335348,0.041104219234801745,0.05116715561350899,0.32010925558049763,0.3184338436109222,0.3713089693103388
high_damping,backward_difference,exp_0002_nominal_timing,20,0.0,-0.11545845105302928,0.11625756953154555,0.12250854851852293,-0.5813339867370028,0.5827728901059253,0.6074987654922449,-1.0508165141449886,1.050819846075676,1.0543600604191314
high_damping,causal_low_pass,exp_0002_nominal_timing,20,0.0,-0.09332953848522241,0.09407626741155288,0.09944391947076339,-0.1376172478667816,0.13921443947538625,0.15334482562392737,-1.0510704233775776,1.0513301254546477,1.0582864926856441
high_damping,causal_polynomial,exp_0002_nominal_timing,20,0.0,-0.06737502020500494,0.06803205440381258,0.07440942602795701,-0.7892700441394964,0.7867587569163044,0.8208157771495282,-0.5413497408039444,0.5402214089503747,0.5794757726661841
high_damping,alpha_beta_gamma,exp_0002_nominal_timing,20,0.0,-0.02579342889384975,0.02593678994678006,0.03321760313226706,-0.7927392277436166,0.7932298312361039,0.8060153106373035,-0.5803197241725825,0.5799671424063959,0.6005060075413503
