observation_duration_s,noise_regime,trial_count,accuracy,false_safe_rate,false_safe_fraction,false_safe_count,false_unsafe_rate,safe_precision,safe_recall,caution_precision,caution_recall,unsafe_precision,unsafe_recall,confusion_safe_safe,confusion_safe_caution,confusion_safe_unsafe,confusion_caution_safe,confusion_caution_caution,confusion_caution_unsafe,confusion_unsafe_safe,confusion_unsafe_caution,confusion_unsafe_unsafe,settling_median_absolute_error_s,settling_p95_absolute_error_s,peak_displacement_median_abs_relative_error,peak_displacement_p95_abs_relative_error,median_decision_margin,decision_change_probability,median_probe_force_squared_dose_n2_s
1.0,nominal,240,0.8333333333333334,0.0,0.0,0,0.0,1.0,0.8354430379746836,0.44642857142857145,0.7352941176470589,0.8269230769230769,0.8958333333333334,132,26,0,0,25,9,0,5,43,0.061025864106495964,1.0482214570890078,0.04202416861318049,0.2020755403176577,0.5597957815546898,0.1,0.2061243370333079
1.0,high,240,0.8375,0.0,0.0,0,0.006329113924050633,1.0,0.8544303797468354,0.46153846153846156,0.7058823529411765,0.7924528301886793,0.875,135,22,1,0,24,10,0,6,42,0.07560580470463368,1.061345156809313,0.04998560347203831,0.21514165021164625,0.5523828227150037,0.07916666666666666,0.2061243370333079
1.5,low,240,0.8166666666666667,0.0,0.0,0,0.006329113924050633,1.0,0.8227848101265823,0.41818181818181815,0.6764705882352942,0.7818181818181819,0.8958333333333334,130,27,1,0,23,11,0,5,43,0.06299287764459247,0.8513939842442682,0.045748416900487705,0.16138647953958746,0.5682885667765692,0.07083333333333333,0.2061243370333079
1.5,nominal,240,0.825,0.0,0.0,0,0.006329113924050633,1.0,0.8291139240506329,0.43636363636363634,0.7058823529411765,0.7962962962962963,0.8958333333333334,131,26,1,0,24,10,0,5,43,0.0590843930118555,0.8339158398669791,0.04130158271457042,0.16708276698908717,0.5674378454830429,0.0875,0.2061243370333079
1.5,high,240,0.8333333333333334,0.0,0.0,0,0.006329113924050633,1.0,0.8417721518987342,0.4528301886792453,0.7058823529411765,0.7962962962962963,0.8958333333333334,133,24,1,0,24,10,0,5,43,0.07625113729125697,0.839750476952678,0.04889076725009002,0.18898961153930702,0.5715780770927446,0.08333333333333333,0.2061243370333079
2.0,low,240,0.8125,0.0,0.0,0,0.006329113924050633,1.0,0.8164556962025317,0.4107142857142857,0.6764705882352942,0.7818181818181819,0.8958333333333334,129,28,1,0,23,11,0,5,43,0.07311562399187001,0.8726463729600566,0.046023831582009,0.1797565690374241,0.5826486888643971,0.075,0.2061243370333079
2.0,nominal,240,0.8333333333333334,0.0,0.0,0,0.006329113924050633,1.0,0.8291139240506329,0.45614035087719296,0.7647058823529411,0.8269230769230769,0.8958333333333334,131,26,1,0,26,8,0,5,43,0.06752483891391683,0.9507961332074831,0.04398035273156442,0.17552251776559977,0.5726737859401516,0.0875,0.2061243370333079
2.0,high,240,0.8541666666666666,0.0,0.0,0,0.012658227848101266,1.0,0.8607594936708861,0.5098039215686274,0.7647058823529411,0.8113207547169812,0.8958333333333334,136,20,2,0,26,8,0,5,43,0.07632222315754245,0.9872931775528805,0.04584612223739783,0.1867130594643226,0.57071157227173,0.09166666666666666,0.2061243370333079
3.0,low,240,0.8083333333333333,0.0,0.0,0,0.006329113924050633,1.0,0.8164556962025317,0.4,0.6470588235294118,0.7678571428571429,0.8958333333333334,129,28,1,0,22,12,0,5,43,0.08873317819343016,0.893907382710816,0.04627776802892894,0.15764023868148344,0.5823167857815374,0.07916666666666666,0.2061243370333079
3.0,nominal,240,0.8458333333333333,0.0,0.0,0,0.006329113924050633,1.0,0.8481012658227848,0.4807692307692308,0.7352941176470589,0.8148148148148148,0.9166666666666666,134,23,1,0,25,9,0,4,44,0.07784783515584029,0.9388150141806869,0.04154825713446775,0.163748086584213,0.6001747274678294,0.075,0.2061243370333079
3.0,high,240,0.8458333333333333,0.0,0.0,0,0.012658227848101266,1.0,0.8481012658227848,0.49019607843137253,0.7352941176470589,0.8,0.9166666666666666,134,22,2,0,25,9,0,4,44,0.06622698458616023,0.9028731594111046,0.04405524742014902,0.1818984386774192,0.5986372378488697,0.08333333333333333,0.2061243370333079
